Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
DMRGateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,"Multi-network DMR gateway letting one MMDVM system reach up to ~6 DMR networks (BrandMeister, DMR+, TGIF, HBLink) plus an XLX at once with talkgroup rewrites",Sits between MMDVMHost and the DMR networks; routes the radio's DMR frames,Open-source (GPL),G4KLX. Ships in Pi-Star/WPSD.
DMRHub,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Docker,Modern self-hostable DMR master server with web UI and OpenBridge,Acts as DMR master routing hotspot/repeater DMR traffic,Open-source,USA-RedDragon; Go implementation.
DMRlink,Digital voice / Hotspot,Digital voice/Hotspot,Linux,IPSC (Motorola MOTOTRBO) DMR linking/bridging server,Links DMR repeaters over IPSC; bridges their RF traffic,Open-source (GPL),N0MJS; pairs with IPSC_Bridge/HB_Bridge.
DroidStar,Digital voice / Hotspot,Digital voice/Hotspot,Android / Windows / macOS / Linux / iOS,"Multi-mode DV client for DMR, D-STAR (REF/XRF/DCS), YSF/FCS, P25, NXDN, M17 reflectors and AllStar (as IAX2)",Software AMBE/IMBE vocoder over UDP; can also drive an MMDVM modem directly (direct mode) as a hotspot/standalone transceiver,Open-source (free),Doug McLain AD8DP. Very widely used.
DStarGateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,"Modernized, actively-maintained rewrite of ircDDBGateway for D-STAR",Same gateway role for D-STAR repeaters/hotspots,Open-source (GPL),Geoffrey F4FXL.
DStarRepeater,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,"D-STAR repeater/node controller for homebrew hardware (GMSK node adapter, DVAP, MMDVM)",Drives the D-STAR RF modem/node adapter and feeds ircDDBGateway,Open-source (GPL),G4KLX; pairs with ircDDBGateway.
DUDE-Star,Digital voice / Hotspot,Digital voice/Hotspot,Windows / Linux / macOS,"Desktop multimode client (D-STAR, Fusion, DMR, NXDN, P25, M17, AllStar)",Built-in software IMBE/AMBE vocoder or an AMBE3000 USB dongle; PC sound card audio,Open-source,AD8DP; predecessor/sibling of DroidStar.
DudeShield,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Android / Windows,Community fork of DUDE-Star for DMR/YSF/D-STAR network access,Software or hardware AMBE vocoder into DV reflectors,Open-source,OpenShield fork.
DummyRepeater,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / macOS,"Turns a PC + AMBE dongle into a D-STAR 'radio' node with no RF, working through ircDDBGateway",Uses a DV Dongle/ThumbDV AMBE hardware vocoder plus PC sound for voice into the D-STAR network,Open-source (GPL),G4KLX; a way to be on D-STAR without an RF radio.
DV4mini control software,Digital voice / Hotspot,Digital voice/Hotspot,Windows / Linux / Android,"Control panel for the DV4mini USB hotspot stick (D-STAR, DMR, Fusion, C4FM, APRS)",USB to the DV4mini RF stick (10mW) that keys/receives DV to your handheld and links to reflectors,Free (closed source),Legacy but still in use.
DVAPTool,Digital voice / Hotspot,Digital voice/Hotspot,Windows / macOS / Linux,Control software for the DVAP Dongle personal D-STAR hotspot,USB to the DVAP RF stick (~10mW GMSK) that keys/receives D-STAR to your handheld and links via ircDDBGateway,Free (closed source),AA4RC; classic D-STAR hotspot.
DVSwitch DIAL image,Digital voice / Hotspot,Digital voice/Hotspot,Raspberry Pi / Linux,Prebuilt image bundling the DVSwitch server tools,Same DVSwitch bridging/AMBE roles,Open-source (free),Turnkey DVSwitch install.
DVSwitch Mobile,Digital voice / Hotspot,Digital voice/Hotspot,Android,Phone client for analog + digital modes that pairs with a user's DVSwitch Server,"Full-duplex audio + low-latency PTT to a DVSwitch Server, which bridges to DV/analog networks and AMBE",Free (closed source),DVSwitch.org / N4IRS & N4IRR.
DVSwitch Server (Analog_Bridge + MMDVM_Bridge),Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,Server suite that bridges AllStar/analog audio to DMR/D-STAR/YSF/P25/NXDN and between DV networks,Transcodes/keys DV streams; bridges to RF via AllStar node radios or MMDVM; uses AMBE (dongle or ambed),Open-source (free),Core of many cross-mode bridges.
DVTool (DV Dongle),Digital voice / Hotspot,Digital voice/Hotspot,Windows / macOS / Linux,Client for the DV Dongle to work D-STAR reflectors/gateways from a PC,USB DV Dongle provides the AMBE hardware vocoder; PC sound for voice into D-STAR,Free (closed source),Robin Cutshaw AA4RC.
EchoLink (Windows),Digital voice / Hotspot,Digital voice/Hotspot,Windows,VoIP linking to EchoLink nodes/conferences; runs as single-user or as a sysop node/link,In sysop mode keys a node radio via sound card + serial/VOX PTT with COS detect; single-user is network-only,"Free (freeware, closed)",Jonathan Taylor K1RFD. Huge installed base.
EchoLink for Android,Digital voice / Hotspot,Digital voice/Hotspot,Android,Mobile EchoLink client to connect to nodes/conferences,Network VoIP into RF EchoLink node radios,Free,Official app.
EchoLink for iOS,Digital voice / Hotspot,Digital voice/Hotspot,iOS,iPhone/iPad EchoLink client,Network VoIP into RF EchoLink node radios,Free,Official app.
EchoLink Proxy,Digital voice / Hotspot,Digital voice/Hotspot,Windows / Linux / Java,Relay allowing EchoLink use behind firewalls/NAT,Passes EchoLink traffic to/from node radios on the network,Free,Helper for the EchoLink network.
EchoLinux,Digital voice / Hotspot,Digital voice/Hotspot,Linux / macOS,Open-source EchoLink-compatible client,Network VoIP into RF EchoLink nodes,Open-source,Legacy cross-platform EchoLink client.
FCS reflector (FCS00x),Digital voice / Hotspot,Digital voice/Hotspot,Linux,Fusion Connect System reflector network (persistent Fusion rooms),Routes C4FM Fusion traffic from connected radios/hotspots,Free,Reached from YSFGateway/openSPOT.
FreeDMR,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Community DMR server network stack (HBLink-derived) with self-care and dynamic talkgroups,Routes DMR frames from connected hotspots/repeaters,Open-source,Simon G7RZU. Hotspots connect via MMDVM_Bridge/DMRGateway.
HAMVOIP,Digital voice / Hotspot,Digital voice/Hotspot,Raspberry Pi / Linux,AllStar-based distribution/image for Pi with its own tools,CM108 sound fob audio + PTT/COS to node radio,Free (GPL-based),Popular RPi AllStar image; diverged from ASL.
HBLink3,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Homebrew DMR master/peer server for building DMR networks and bridges (Homebrew/MMDVM protocol),Aggregates and routes DMR frames from many hotspots/repeaters; conference bridges/talkgroups,Open-source (GPL),Cort N0MJS lineage; Python.
HBmonitor,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Web,Web dashboard/monitor for HBLink/FreeDMR servers,Displays and helps manage DMR traffic routed for connected radios,Open-source,Companion to HBLink.
Icom RS-MS3A / RS-MS3W,Digital voice / Hotspot,Digital voice/Hotspot,Android / Windows,"Software for D-STAR Terminal/Access-Point mode, letting an Icom DV radio reach the gateway over the internet",Connects the D-STAR radio (USB) to the internet gateway for callsign routing/reflectors,Free (proprietary),Icom terminal/AP-mode helper.
IPSC2 / DMRplus master,Digital voice / Hotspot,Digital voice/Hotspot,Linux,DMR+ (DMRplus) master/reflector server software,Routes DMR traffic and reflectors for connected repeaters/hotspots,Free (restricted/closed),DMR+ team; hotspots connect via DMRGateway 'DMR Plus'.
ircDDBGateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,"D-STAR gateway providing callsign routing (ircDDB), DPlus/REF, DExtra/XRF, DCS and XLX reflector linking, CCS7 and D-RATS",Connects a D-STAR repeater/hotspot (DStarRepeater/MMDVMHost/DVAP) to the D-STAR network,Open-source (GPL),G4KLX. The classic D-STAR gateway.
IRLP,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Internet Radio Linking Project node software linking repeaters/simplex nodes and reflectors,Sound-card audio + serial/parallel-port PTT and COS via the IRLP interface board to the radio,Free (proprietary node software; requires IRLP board),Dave Cameron VE7LTD. Requires purchased board/node number.
m17-cxx-demod / M17 tools,Digital voice / Hotspot,Digital voice/Hotspot (M17),Linux / Windows / macOS,Reference M17 modulator/demodulator command-line tools,audio (sound card) baseband to/from radio; USRP/network,Open-source,Core M17 Project tools; complements the listed mvoice/mrefd/M17Gateway/OpenRTX
M17Gateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,Gateway linking an MMDVM hotspot to the open M17 reflector network,Relays the radio's M17 (Codec2) stream to M17 reflectors,Open-source (GPL),G4KLX; M17 is the ham-developed open DV mode.
"MMDVM cross-mode gateways (YSF2DMR, YSF2NXDN, YSF2P25, DMR2YSF, DMR2NXDN, NXDN2DMR)",Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,"Transcode/bridge one DV mode to another so, e.g., a Fusion radio can work DMR talkgroups",Convert the radio's DV frames between protocols mid-stream,Open-source (GPL),G4KLX/community 'MMDVM_CM'; enables cross-mode operation on Pi-Star/WPSD.
MMDVM firmware,Digital voice / Hotspot,Digital voice/Hotspot,Embedded (STM32/ESP),Firmware for MMDVM modem boards/hotspots that modulates/demodulates DMR/D-STAR/YSF/P25/NXDN/M17/POCSAG,Directly generates and receives the RF DV baseband; talks to MMDVMHost over serial,Open-source (GPL),"G4KLX plus MMDVM_HS variants (F1RMB, N7TAE, EA7EE builds)."
MMDVM_Bridge,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,Connects to DMR/D-STAR/YSF/P25/NXDN networks and decomposes each into a mode-agnostic stream for bridging,Network side of DVSwitch; bridges the radio's DV frames between systems,Open-source,DVSwitch component; used with Analog_Bridge.
MMDVMCal,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,"Calibration utility to tune an MMDVM modem's TX/RX offset, deviation and levels",Talks to the modem over serial and keys test carriers/patterns on RF for tuning,Open-source (GPL),G4KLX. Essential when setting up a new modem board.
MMDVMHost,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,The core host program that ties an MMDVM/DVMega modem to DMR/D-STAR/YSF/P25/NXDN/M17/POCSAG networks; underlies Pi-Star and WPSD,Serial/USB link to the MMDVM modem; the modem does the RF; also drives Nextion/OLED and PTT via the modem,Open-source (GPLv2),Jonathan Naylor G4KLX. The engine of nearly every MMDVM hotspot.
mrefd (M17 Reflector),Digital voice / Hotspot,Digital voice/Hotspot,Linux,Reflector server for the open M17 digital-voice network,Routes M17 (Codec2) streams from hotspots/clients,Open-source,N7TAE / M17 Project.
mvoice,Digital voice / Hotspot,Digital voice/Hotspot,Linux / macOS,Reference desktop client for the open M17 network,Software Codec2 vocoder over the network into M17 reflectors (can pair with hotspot for RF),Open-source,N7TAE / M17 Project.
NXDNGateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,"NXDN gateway linking a hotspot to NXDN reflectors (e.g., NXCore/TGIF)",Routes the radio's NXDN frames to/from the network,Open-source (GPL),G4KLX.
NXDNReflector,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Reflector server for NXDN (used by NXCore/TGIF NXDN),Routes NXDN traffic among connected radios/hotspots,Open-source (GPL),G4KLX.
OP25,Digital voice / Hotspot,SDR (P25 decoder),Linux / Raspberry Pi,APCO-25 (and DMR) receiver/decoder built on GNU Radio,Controls RTL-SDR/Airspy front-ends — tunes control channels and follows trunked voice,Open-source (GPL),Osmocom OP25 / boatbod fork; common on scanner Pis.
OpenDV suite,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows,"Packaging/distribution of G4KLX's D-STAR software (ircDDBGateway, DStarRepeater, PCRepeaterController)",Same D-STAR repeater/gateway RF/network roles as its components,Open-source (GPL),Maintained by DL5DI/community.
P25Gateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,P25 Phase-1 gateway connecting a hotspot to P25 reflectors/talkgroups,Routes the radio's P25 IMBE stream between MMDVMHost and P25 network,Open-source (GPL),G4KLX.
P25Reflector,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Reflector server for P25 talkgroups,Routes P25 IMBE traffic among hotspots/repeaters,Open-source (GPL),G4KLX.
Peanut,Digital voice / Hotspot,Digital voice/Hotspot,Android / Windows / Network-radio,"Simple client to reach D-STAR, DMR, Fusion and M17 talk rooms over the internet with no hotspot/dongle",Network/DV-reflector linking with software vocoder; gateways into RF DV networks (no local RF),Free (closed source),PA7LIM. Licensed hams only; validation required.
Pi-Star,Digital voice / Hotspot,Digital voice/Hotspot,Raspberry Pi / Linux,"Turnkey SD-card image that runs a multi-mode MMDVM digital-voice hotspot or repeater (DMR, D-STAR, YSF/FCS, P25, NXDN, POCSAG) with a web dashboard",Hotspot/network linking; drives an MMDVM or DVMega modem over serial/USB which transmits/receives the RF digital-voice signal,"Free (GPL components, donationware)",Andy Taylor (MW0MWZ). Long the default hotspot OS; development slowed ~2025 and the community shifted to WPSD.
QnetGateway (g2_ircddb / qnet),Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,"Alternative D-STAR ircDDB gateway supporting DVAP, ThumbDV/DVstick and MMDVM hotspots","Links a D-STAR node/hotspot (RF via DVAP/MMDVM, or AMBE dongle) to the D-STAR network",Open-source,Tom Early N7TAE.
Qtel,Digital voice / Hotspot,Digital voice/Hotspot,Linux,EchoLink client GUI (part of the SvxLink project),Network VoIP into RF EchoLink nodes; PC audio,Open-source (GPL),Tobias SM0SVX.
SharkRF openSPOT (firmware + web config),Digital voice / Hotspot,Digital voice/Hotspot,Embedded (web UI) / iOS / Android app,"Standalone multi-mode hotspot (DMR, D-STAR, Fusion, NXDN, P25, cross-mode) configured via built-in web interface",The device's own RF modem talks to your handheld; firmware links it to DV networks; SharkRF app assists config,Commercial (proprietary firmware),"openSPOT/2/3/4 hardware; runs pure-C embedded OS, no Pi-Star."
Supermon / Allmon2 / AllScan,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Web,"Web dashboards to monitor and control AllStar nodes (connect/disconnect links, key, DTMF)",Issues commands to app_rpt that link/key the node's radio,Open-source,AllScan is the modern PHP dashboard.
SvxLink server,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,"Repeater controller, simplex node, EchoLink node and networked reflector with voice modules","Sound-card audio to the transceiver + PTT/COS via GPIO, serial DTR/RTS, or CM108 USB; can key repeater RF",Open-source (GPL),SM0SVX. Widely used repeater/EchoLink controller.
SvxReflector,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Networked reflector interlinking multiple SvxLink nodes,Routes audio among SvxLink node radios/repeaters,Open-source (GPL),Part of the SvxLink project.
thebridge,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows,EchoLink conference-server software for hosting rooms,Bridges/conferences EchoLink node-radio audio,Open-source,Basis of thelinkbox radio linking.
thelinkbox,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Repeater controller and VoIP linking application (separate from EchoLink/IRLP networks),Sound-card audio + PTT/COS interface to link radios/repeaters,Open-source,Skip Hansen; based on thebridge with radio interface code.
urfd (URF Reflector),Digital voice / Hotspot,Digital voice/Hotspot,Linux,"Unified multi-mode reflector (D-STAR, DMR, YSF, NXDN, P25, M17) succeeding XLX",Routes/transcodes DV traffic among connected hotspots/repeaters,Open-source,N7TAE. Modern XLX replacement.
WinDV / DV-RPTR software,Digital voice / Hotspot,Digital voice/Hotspot,Windows,Control/node software for DV-RPTR modem boards (D-STAR),Serial/USB to the DV-RPTR modem which handles D-STAR RF,Free,Legacy German DV-RPTR hardware.
Wires-X (Yaesu),Digital voice / Hotspot,Digital voice/Hotspot,Windows,Yaesu's node/room software for System Fusion (C4FM) internet linking via HRI-200 or a Portable Digital Node,Connects a Fusion radio (via HRI-200 or DR-2X/FT USB) using CAT/USB + sound for RF node operation,Free (proprietary; requires Yaesu hardware),Windows 7+; the official Fusion linking system.
WIRES-X Portable Digital Node (PDN),Digital voice / Hotspot,Digital voice/Hotspot,Windows,HRI-200-less mode of Wires-X using a supported Fusion radio directly as a personal node,USB-connects an FT-70/FT3/FTM-series radio; the radio provides RF and vocoder,Free (proprietary),Popular low-cost Fusion node.
WPSD (W0CHP-PiStar-Dash),Digital voice / Hotspot,Digital voice/Hotspot,Raspberry Pi / Linux,"Actively-maintained next-gen fork of Pi-Star; same multi-mode MMDVM hotspot/repeater roles plus cross-mode, better dashboard and updater",Same as Pi-Star: controls MMDVM/DVMega modem over serial/USB for RF DV,Free / Open-source (donationware),Chip (W0CHP). Now the most-recommended hotspot distribution.
xlxd (XLX Reflector),Digital voice / Hotspot,Digital voice/Hotspot,Linux,Multiprotocol reflector server providing all-mode D-STAR + DMR + YSF interlink with a web dashboard,Reflects/routes DV traffic from many hotspots/repeaters; transcodes via ambed,Open-source (GPL),LX1IQ. XLX modules (A-Z).
YSFGateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,Yaesu System Fusion gateway connecting an MMDVM hotspot to YSFReflector/FCS rooms,Relays the radio's C4FM stream from MMDVMHost to Fusion reflectors,Open-source (GPL),G4KLX; part of the MMDVM gateway suite.
YSFReflector,Digital voice / Hotspot,Digital voice/Hotspot,Linux,Reflector/room server for Yaesu System Fusion (C4FM),Routes C4FM streams from Fusion hotspots/repeaters,Open-source (GPL),G4KLX; the standard YSF room server.
Codec 2,FreeDV / Digital voice codec,FreeDV / digital-voice codec,"Windows, macOS, Linux, Raspberry Pi, embedded",Open-source low-bit-rate (700–3200 bps) speech codec plus reference 'freedv' command-line encode/decode tools; the engine inside FreeDV and M17.,CLI tools read/write audio (WAV/stdin) for feeding a rig's sound-card path; library used by radios/apps.,Open-source (LGPL),By David Rowe. Foundational codec; not a full station app by itself but ships the freedv CLI.
FreeDV / freedv-gui,FreeDV / Digital voice codec,FreeDV digital voice,"Windows, macOS, Linux, Raspberry Pi",Open-source HF digital voice: compresses speech with Codec 2 and modulates it (700D/700E/1600/2020 etc.) so any SSB rig carries low-bit-rate DV; also has a text/data channel.,Two sound cards (radio audio in/out plus speaker/mic); PTT via serial or Hamlib/rigctl; CAT rig control for frequency.,Open-source (LGPL 2.1),By David Rowe and contributors; the reference FreeDV application. Companion SM1000 is the hardware version.
mvoice (M17),FreeDV / Digital voice codec,M17 digital voice (Codec 2),"Linux, Raspberry Pi",M17 digital-voice client using Codec 2 3200/1600; connects to M17 reflectors and can key radios/hotspots.,Sound-card/USB audio to a rig or hotspot; network linking of M17 gateways; PTT via interface.,Open-source,"By the M17 Project. M17 chose Codec 2 as its open codec, tying it to the FreeDV codec family."
QRadioLink,FreeDV / Digital voice codec,Digital voice (Codec 2) + SDR,Linux,SDR-based transceiver app supporting Codec 2 digital voice plus analog and data modes over VHF/UHF/HF SDR hardware.,Directly drives SDR transceivers (audio + I/Q) and keys TX; supports Codec 2 DV.,Open-source (GPL),By Adrian Musceac YO8RZZ. Brings FreeDV-style Codec 2 voice into an SDR platform.
Aether,Logging (rig control),Logging (rig control),macOS,"Modern native Mac logger with QSO management, awards, Cabrillo/ADIF",CAT rig control,Commercial,Paid Mac App Store logger.
BBLogger,Logging (rig control),Logging (rig control),Windows,Free general logging program,CAT rig control,Free,Listed among free ham logging programs.
Cloudlog,Logging (rig control),Logging (rig control),Web (self-hosted PHP),"Web-based logbook with awards, maps, LoTW/QSL",Reads live rig frequency/mode via a CAT bridge (Hamlib/rigctld companion posting to its Radio API),Free / Open-source,By M0OUK; CAT is via a local bridge process.
CommCat,Logging (rig control),Logging (rig control),Windows,"Logging with integrated rig control, cluster and mapping","CAT rig control, PTT",Commercial,Windows station-management logger.
CQRLOG,Logging (rig control),Logging (rig control),Linux,"Advanced Linux logger (Firebird DB) with cluster, grayline, LoTW/eQSL",CAT rig control via Hamlib/rigctld (incl. IP rigs like IC-7300); integrates fldigi/WSJT-X,Free / Open-source,By OK2CQR.
DX4WIN,Logging (rig control),Logging (rig control),Windows,DXer-oriented logging program,CAT rig control,Commercial,Popular with serious and casual DXers.
DXbase,Logging (rig control),Logging (rig control),Windows / DOS,Legacy DX logging program,CAT rig control,Commercial (legacy),Older Windows/DOS logger still in some shacks.
DXKeeper,Logging (rig control),Logging (DXLab),Windows,"Full logging, QSLing, LoTW/eQSL and awards tracking",captures freq/mode and tunes rig via DXLab Commander,Free,DXLab Suite logging component; only Commander and WinWarbler were listed from the suite
DXLab Suite,Logging (rig control),Logging (rig control),Windows,"Free modular station-management suite: DXKeeper (log), Commander (CAT), SpotCollector (cluster), WinWarbler (digital), DXView, PropView, etc.",Commander does CAT/PTT rig control; WinWarbler does sound-card PSK/RTTY/CW TX-RX with PTT; modules feed the rig frequency/mode,Free,By AA6YQ. Modules run standalone or together.
DXtreme Station Log,Logging (rig control),Logging (rig control),Windows,Commercial general logging program with reporting,CAT rig control,Commercial,Long-standing commercial logger.
DXView,Logging (rig control),Rig control core / mapping (DXLab),Windows,"World map of spots, beam headings, greyline; commands rotators",rotator control + rig control via Commander,Free,DXLab Suite component
Fast Log Entry (FLE),Logging (rig control),Logging (rig control),Windows,Very fast keyboard/text logging that converts shorthand to ADIF/Cabrillo,None directly - offline text logger; no CAT/audio/PTT (listed here for completeness per the logging category),Free,"By DF3CB. Included because it is named in the logging set, but it does not itself touch the radio."
Flcluster,Logging (rig control),DX cluster client,Windows / macOS / Linux / Raspberry Pi,Telnet DX-cluster client integrated with the Fl* suite,Can QSY the rig by sending spot frequency to flrig/fldigi,Open-source (GPL),Newer member of the suite
Fllog,Logging (rig control),Logging (rig control),Windows / macOS / Linux / Raspberry Pi,Stand-alone logbook server that stores QSOs and serves them over XML-RPC to fldigi/flrig,Captures frequency/mode from flrig/fldigi at log time; no direct CAT itself,Open-source (GPL),Provides a shared log back-end for the suite
Flnet,Logging (rig control),NBEMS net logging,Windows / macOS / Linux / Raspberry Pi,Net-control check-in roster and member database for running on-air nets,Can read current frequency from flrig/fldigi; primarily a net-management database,Open-source (GPL),Part of the Fl* suite
HAM Office,Logging (rig control),Logging (rig control),Windows,German-language logging/station suite,CAT rig control,Commercial,Popular in the DACH region.
Ham Radio Deluxe (HRD),Logging (rig control),Logging (rig control),Windows,"Comprehensive suite: Logbook, Rig Control, DM-780 digital, Rotator, Satellite tracking","CAT rig control, sound-card digital via DM-780 with PTT, CW keying, rotor control",Commercial,"By HB9DRV originally; free through v5, now paid. Rig Control module runs standalone."
Ham Radio Deluxe - Digital Master (DM780),Logging (rig control),Multimode digital + logging,Windows,"Multimode (PSK, RTTY, Olivia, Contestia, DominoEX, MT63, Feld Hell, MFSK, CW, SSTV) integrated with the HRD suite",Sound-card audio in/out; CAT rig control and PTT via HRD Rig Control,Commercial,DM780/Digital Master component of Ham Radio Deluxe (HRD Software LLC)
HamLog,Logging (rig control),Logging (rig control),iOS / Android / macOS,"Portable field/mobile logger with search, ADIF, QRZ lookup, cloud sync",Rig control (freq/mode) via Pignology Piglet/Pigtail WiFi/serial CAT hardware,Commercial,By Pignology; CAT requires the Piglet/Pigtail interface.
KLog,Logging (rig control),Logging (rig control),Windows / macOS / Linux,Multiplatform Qt logger with awards and DXCC tracking,CAT rig control via Hamlib,Free / Open-source,By EA4TV.
Log-EQF / Win-EQF,Logging (rig control),Logging (rig control),DOS / Windows,Long-running general logger,CAT rig control (frequency/mode),Shareware,Win-EQF is the Windows successor to the DOS LOG-EQF.
Log4OM,Logging (rig control),Logging (rig control),Windows,"Free logging program with integrated CAT control, cluster spotting and click-to-tune bandmap.","Controls the transceiver via OmniRig or Hamlib (frequency/mode/split), tunes to cluster spots, and shares CAT with digital apps.",Free (donationware),By Daniele Pistollato IW3HMH; strong CAT + cluster integration.
Log4OM (v1 / v2),Logging (rig control),Logging (rig control),Windows,"Modern station-management logbook with cluster, awards, cloud sync","CAT rig control via Omni-Rig or Hamlib, CW via WinKeyer, integrates external digital (WSJT-X/fldigi)",Free,By IW3HMH.
Logger32,Logging (rig control),Logging (rig control),Windows,Lightweight DX logger with bandmap and cluster,CAT rig control (auto freq/mode capture) plus rotor control,Free,By K4CY. Very stable and low-resource.
Logic (LOGic),Logging (rig control),Logging (rig control),Windows,"Logging program with rig control, awards and mapping",CAT rig control,Commercial,By Personal Database Applications.
MacLoggerDX,Logging (rig control),Logging (rig control),macOS / iOS,"Mac/iOS logging and DX program with built-in rig control for ~100 radios, cluster spotting and click-to-tune.",Direct CAT/CI-V control of frequency/mode; tunes the radio to DX-cluster spots and can key/track for satellites.,Commercial (Dog Park Software),A primary Mac rig-control + spotting bridge.
MixW / MixW2 / MixW3,Logging (rig control),Multimode digital + logging,Windows,"All-in-one multimode (PSK, RTTY, SSTV, MFSK, MT63, Olivia, Packet, CW) with logbook, DX cluster and contest support","Sound-card audio in/out; CAT rig control, PTT, and antenna-rotator control via COM ports",Commercial (shareware),"By Nick Fedoseev UT2UZ / UU9JDR; long-time popular Windows suite, now under RigExpert"
MixW4,Logging (rig control),Multimode digital + logging,Windows / macOS / Linux,"Cross-platform rewrite of MixW: PSK, RTTY, Olivia, MFSK, DominoEX, CW plus JT65/FT8, with logging, DX cluster, contest tools, KiwiSDR as external RX",Sound-card audio; CAT/Hamlib rig control and PTT (RigCAT); FSK keying,"Commercial (15-day evaluation, otherwise nag-only)",By RigExpert; actively developed multi-OS successor to MixW
N3FJP Amateur Contact Log (AC Log),Logging (rig control),Logging (rig control),Windows,General logger with DXCC/WAS/WAC/county award tracking,"CAT rig control (freq/mode), integrates WSJT-X/digital",Commercial,Flagship of the N3FJP suite.
N3FJP Amateur Contact Log (ACLog) + Rig Interface/Gateway,Logging (rig control),Logging (rig control),Windows,General/contest logging suite with a built-in rig-control interface and a network gateway/API other N3FJP and third-party apps use for CAT.,"Reads/sets radio frequency and mode via built-in CAT (or Hamlib/OmniRig), and its API Gateway relays rig data to other software.","Commercial (low-cost, free trial)",By Scott Davis N3FJP; the 'ACLog gateway' bridges CAT to companion apps.
ProLog,Logging (rig control),Logging (rig control),DOS / Windows,Legacy general logging program,CAT rig control,Commercial (legacy),By Datamatrix; DOS-era logger.
PstRotator (PstRotatorAZ),Logging (rig control),Logging (rig control),Windows,Antenna-rotator control program (AZ/EL) with logger/cluster tracking and satellite support that reads and follows rig frequency.,"Reads the transceiver's frequency/mode via CAT (Hamlib/OmniRig/direct) to auto-point antennas and, for satellites, sends Doppler CAT tuning to the rig.",Commercial (shareware),By Codrut Buda YO3DMU; touches the radio via CAT for tracking/Doppler.
RUMlog / RUMlogNG,Logging (rig control),Logging (rig control),macOS (plus iOS RUMlog),Free Mac logbook and contest logger with cluster and QSL management,"CAT rig control (freq/mode), CW/PTT keying",Free,By DL2RUM.
SpotCollector,Logging (rig control),Logging / DX cluster (DXLab),Windows,Aggregates spots from up to six sources into a real-time local DX database,rig control via DXLab Commander; click-to-tune,Free,DXLab Suite component; the suite is listed but this individual app was not
Swisslog,Logging (rig control),Logging (rig control),Windows,"Comprehensive QSO management, awards, cluster",CAT rig control,Shareware / Commercial,By HB9BJS.
Turbo HAMLOG/Win,Logging (rig control),Logging (rig control),Windows,General-purpose station logbook; the de-facto standard everyday logger in Japan,CAT rig control (reads freq/mode),Free,Shoichi Hamada JG1MOU; major non-English regional logger
TurboLog 4,Logging (rig control),Logging (rig control),Windows,"DX/contest logging with cluster, mapping, rig and rotor control",CAT rig control + rotator + cluster,Commercial,German logging suite (distinct from Turbo HAMLOG)
UcxLog,Logging (rig control),Logging (rig control),Windows,"Combined general logbook, contest logger and digital-mode terminal","CAT rig control, PTT, sound-card digital (PSK/RTTY/CW), CW keying",Donationware / Shareware,By DL7UCX.
VQLog,Logging (rig control),Logging (rig control),Windows,HF/VHF/satellite logbook covering all amateur bands,CAT rig control,Shareware,By EA6VQ.
Wavelog,Logging (rig control),Logging (rig control),Web (self-hosted),Modern actively developed fork of Cloudlog,Receives live rig freq/mode from a CAT interface/Hamlib companion via its API,Free / Open-source,Community fork with faster development cadence.
