Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
Morse Expert,CW / RTTY skimmer & keyer,None (audio-only decoder; uses CW Skimmer's decoding algorithms),n/a - no CAT.,"Audio from the built-in microphone or from a radio via an audio cable (VE3NEA's Morse Expert; an Android app, with a ve3nea.github.io build).",n/a - receive-only decoder.,n/a - receive only.,none,DSP CW receive decoder.,confirmed,Morse Expert (VE3NEA),https://ve3nea.github.io/MorseExpert/,"Confirmed RX-only, no-CAT; note it is primarily an Android app (the original's 'Windows' path is not the main platform)."
MRP40,CW / RTTY skimmer & keyer,None (no CAT; Polar Electric),n/a - set the rig frequency/mode manually.,Settings: select the sound-card input for decode.,CW keying via sound-card AFSK (recommended) or via serial/USB (COM DTR/RTS); PTT via COM by enabling 'Activate PTT pin' under Options > Tx-Settings.,n/a for hard CW keying (power on the radio); keep AFCW/AFSK tone level moderate if using sound-card sending.,none,CW receive decoder plus keyboard CW send.,confirmed,MRP40 User Manual (Polar Electric),https://www.polar-electric.com/Morse/MRP40-EN/MRP40_User_Manual.pdf,Verified sound-card decode + AFSK/serial CW sending + COM PTT.
PocketDigi,CW / RTTY skimmer & keyer,None / minimal (OK1IAK; PocketPC/Windows Mobile; decode engine derived from gMFSK),n/a - set the rig manually.,PDA (PocketPC) sound in/out to the radio.,PTT via the PDA serial port.,SSB - keep the audio level low so ALC is minimal.,none,Legacy Pocket PC PSK/RTTY/CW/MFSK app.,confirmed,PocketDigi (OK1IAK) / N0HR intro,http://www.n0hr.com/PocketDigi/PocketDigi_intro.htm,"Verified PocketPC PSK/RTTY/CW/MFSK app, PDA audio, serial PTT, no CAT."
PSKer,CW / RTTY skimmer & keyer,"None (audio-coupled app) - it is an iOS/iPad app, not Android",n/a - set the rig manually.,iOS device audio input (built-in mic or a wired audio interface) from the receiver.,"Transmit via the speaker/audio out with VOX, or a wired interface PTT.",Keep the TX audio level low so the SSB rig's ALC barely moves.,Optional audio interface cable for reliable coupling/PTT.,Android PSK31; frequency set manually.,corrected,PSKer (iOS/iPad app),,"CORRECTED: PSKer is an iOS/iPad application (companion to DroidPSK), not an Android app as the original stated. Audio-coupled, no CAT is correct."
RBN Aggregator,CW / RTTY skimmer & keyer,None (no direct radio; consumes Skimmer telnet spots),n/a - configure the local Skimmer/Skimmer-Server telnet host/port (default 7300) and enter your callsign; the RBN password is left blank. Local-user telnet port defaults to 7550.,"n/a - consumes telnet spots, not audio.",n/a.,n/a.,CW Skimmer / CW Skimmer Server / RTTY Skimmer Server feeding telnet spots; uploads validated spots to the Reverse Beacon Network.,"Connects to a local Skimmer telnet feed, filters/validates, relays to RBN; can re-serve a local telnet feed.",confirmed,Using Aggregator with the Reverse Beacon Network (v6.0),https://cms.reversebeacon.net/sites/cms.reversebeacon.net/files/2019/12/21/Using%20Aggregator%20-%20v6.0.pdf,"Verified against the official 'Using Aggregator with the RBN' guide (Skimmer telnet 7300, blank RBN password, local port 7550)."
RiTTY,CW / RTTY skimmer & keyer,none (audio-only),n/a — tune the rig manually.,Sound-card/device audio input from the receiver.,n/a — receive-focused decoder.,n/a.,none,RTTY receive decoder (audio in).,uncertain,RTTY decoder comparison references (RTTY groups / DXZone),,UNCERTAIN: 'RiTTY' appears in RTTY decoder comparisons but I could not find an authoritative official page distinct from K6STI's RITTY - there may be naming confusion with RITTY (DOS). RX-oriented/no-CAT is the safest read.
RITTY (DOS),CW / RTTY skimmer & keyer,None (K6STI DOS DSP RTTY program; requires an ISA-slot SoundBlaster),n/a - tune the rig manually. Runs standalone in a DOS window or as a modem inside WriteLog.,Sound-card audio in via an ISA SB16-class card.,Serial/parallel-port FSK and PTT keying (K6STI PTT/FSK interface circuits).,n/a - FSK keying (constant carrier).,none,K6STI's classic DOS RTTY decoder/keyer.,confirmed,PTT/FSK for RITTY (K6STI),http://inbody.net/ad0k/rtty/rttyinfo/rit2/pttfsk.html,"Verified K6STI RITTY (DOS/ISA SoundBlaster), serial/parallel FSK+PTT."
RST Decoder / RST Decoder Pro,CW / RTTY skimmer & keyer,None (audio-only decoder; iOS App Store apps),n/a - no CAT.,"Decodes Morse from the device microphone (with BPF center-frequency/bandwidth, notch, AGC, and an Auto Frequency Detector).",n/a - receive only.,n/a - receive only.,none,Receive-only CW decoder.,confirmed,RST Decoder Pro (Apple App Store),https://apps.apple.com/us/app/rst-decoder-pro/id1521025545,Verified RST Decoder / RST Decoder Pro are RX-only iOS Morse decoders (mic input).
RTTY Skimmer Server,CW / RTTY skimmer & keyer,Wideband SDR (I/Q hardware or CW-Skimmer-Server shared memory); no transceiver CAT (VE3NEA),"Edit RTTYSkimServ.ini: set the SDR/source, the contest profile (Contest=), and the RTTYSegments= list of band segments; the built-in Telnet cluster server settings are here too.",n/a for direct I/Q hardware.,n/a - receive only.,n/a - receive only.,Wideband SDR (or CW Skimmer Server shared memory); RBN Aggregator to relay spots.,VE3NEA/Afreet RTTY analog of Skimmer Server; telnet spot output.,confirmed,RTTY Skimmer Server v1.0 User's Manual (VE3NEA),http://www.dxatlas.com/rttyskimserv/files/rttyskimserv.pdf,Verified RTTYSkimServ.ini (RTTYSegments/Contest) and built-in telnet cluster (VE3NEA).
THROB / THROBX,CW / RTTY skimmer & keyer,None (no CAT; G3PPT sound-card MFSK program),n/a - tune the rig manually.,Windows sound-card input/output.,PTT via VOX or serial RTS/DTR.,SSB - keep the audio drive low so ALC is minimal.,none,G3PPT's THROB tone mode; largely superseded by fldigi.,confirmed,THROB/THROBX (G3PPT) - Signal Identification Wiki,https://www.sigidwiki.com/wiki/THROB,Verified THROB/THROBX are G3PPT MFSK modes/software using a sound card with no CAT.
TrueTTY,CW / RTTY skimmer & keyer,CAT frequency control via Omni-Rig (installed separately) - not a built-in DXsoft driver,Setup > select your rig in the 'Use Rig' dropdown; tuning/frequency sync is performed through the Omni-Rig interface. PTT/FSK are set under Setup / Interface / PTT port.,Setup: select the sound-card input/output devices used for decode/transmit.,Setup / Interface / PTT port (COM or LPT) with selectable pins; 'Produce FSK output at TxD' enables true FSK in RTTY/ASCII.,AFSK into SSB - keep the audio level low so ALC is minimal.,none (CwGet/CwType are DXsoft siblings).,DXsoft RTTY/PSK/MFSK/packet multimode.,corrected,DXsoft TrueTTY product page/manual,https://www.dxsoft.com/en/products/truetty/,"CORRECTED: the CAT backend is Omni-Rig (per the TrueTTY manual: 'Tuning is made via Omni-Rig software interface'), not a bespoke 'built-in DXsoft rig' driver."
winkeydaemon,CW / RTTY skimmer & keyer,"None (WinKeyer keying, no CAT; N0NB)","n/a - launch with -d <serial device> pointing at the K1EL WinKey (winkey2/winkey3, or Ham Gadgets MK1); it emulates the cwdaemon network protocol (UDP 6789) so programs like tlf can use it in place of cwdaemon.",n/a - WinKeyer hardware keying.,The WinKeyer keys CW and asserts PTT to the rig.,n/a - hard CW keying.,"A K1EL WinKeyer; cwdaemon-aware loggers (tlf, Xlog).",Linux glue between cwdaemon-protocol loggers and a WinKeyer.,confirmed,winkeydaemon README (N0NB),https://github.com/N0NB/winkeydaemon,Verified cwdaemon-protocol emulation over UDP 6789 driving a WinKey.
WinWarbler,CW / RTTY skimmer & keyer,DXLab Commander (CAT hub),"Set the radio once in DXLab Commander (radio model, COM port, baud); WinWarbler reads/controls frequency through Commander.",WinWarbler > Configuration > Soundcard: choose input and output.,"PTT/CW keying via a COM port (RTS/DTR); for RTTY use MMTTY (AFSK, or true FSK via EXTFSK). In Commander set PTT mode 'Xcvr Ctl SW' and 'suppress CAT' in WinWarbler's PTT box.",SSB DATA mode; keep TX audio low so ALC is minimal for desired RF out.,DXLab Commander for CAT; the MMTTY engine for RTTY.,AA6YQ's PSK/RTTY/CW module of the DXLab Suite.,confirmed,WinWarbler Help (DXLab) - PTT Settings,https://www.dxlabsuite.com/winwarbler/Help/PTTSettings.htm,"Verified CAT-via-Commander, Configuration > Soundcard, and PTT/MMTTY setup."
Zakanaka,CW / RTTY skimmer & keyer,Built-in COM-port rig interface (K4CY): reads transceiver frequency via CAT over a serial port and keys PTT,Configuration/Options: select the COM port and rig so Zakanaka can display/track frequency from a CAT-capable radio (works with K4CY's Logger).,Configuration > Soundcard: input and output devices.,PTT via a COM port (RTS/DTR).,SSB - keep the audio drive low so ALC is minimal.,none,Legacy PSK/RTTY sound-card program.,confirmed,Zakanaka (K4CY) - DXZone / IW5EDI,https://www.dxzone.com/dx3747/zakanaka.html,Confirmed (was ambiguous): Zakanaka (Bob Furzer K4CY) is a sound-card PSK31/RTTY program that interfaces a radio over a COM port for frequency display and PTT.
acarsdec,Data modes (ALE/MARS/marine/aero),None (SDR or audio input; no transceiver CAT),"n/a - command-line device selection: --rtlsdr <idx>, --airspy, --soapysdr, --sdrplay, or ALSA/audio-file input; you list the VHF ACARS frequencies (e.g. 130.025, 130.450, 131.550) within a 2 MHz span.","In audio mode, pipe ALSA sound-card audio from a VHF-AM receiver; SDR mode reads RTL-SDR/Airspy/SDRplay/SoapySDR I/Q directly.",n/a - receive only.,n/a - receive only.,An RTL-SDR/Airspy/SDRplay or a VHF-AM receiver; feeds acarshub/airframes.,Multi-channel VHF ACARS decoder.,confirmed,acarsdec README (TLeconte),https://github.com/TLeconte/acarsdec,Verified multi-channel SDR/audio CLI model (TLeconte acarsdec).
AIS-catcher,Data modes (ALE/MARS/marine/aero),None (SDR; jvde-github),n/a - CLI/web config: select the SDR (-d for RTL-SDR/Airspy/HackRF/SDRplay/SoapySDR); it tunes the fixed AIS channels 161.975/162.025 MHz.,n/a - takes I/Q from the SDR.,n/a - receive only.,n/a - receive only.,RTL-SDR/Airspy/HackRF; its built-in web viewer or AIS aggregators.,Marine AIS receiver/decoder with a web UI.,confirmed,AIS-catcher README (jvde-github),https://github.com/jvde-github/AIS-catcher,"Verified dual-band AIS SDR receiver, no CAT, RX only."
ARDOP (ardopc / ardopcf),Data modes (ALE/MARS/marine/aero),Sound-card modem with no rig-model CAT of its own; the host app (Winlink Express / Pat / BPQ) does frequency CAT. PTT via rigctld/serial/GPIO/CM108/VOX,"No rig-model CAT UI. Start ardopcf with the TCP port (default 8515), capture/playback devices, and a PTT method; a CAT string may be passed as -c/--cat port:speed (e.g. com1:19200). The host handles frequency and connects on TCP 8515.",Command-line/arguments select the capture and playback sound devices (Winlink/Pat's ARDOP setup exposes the same).,"PTT via rigctld (Hamlib, e.g. localhost:4532), serial RTS/DTR, GPIO (Raspberry Pi, default pin 17) / CM108, or VOX.",SSB DATA mode; set drive so ALC barely moves and keep audio low.,"A host — Winlink Express, pat, or BPQ32 — over TCP.","Open-source ARDOP sound-card modem, successor to WINMOR.",confirmed,ardopcf USAGE (pflarue) / Pat docs,https://github.com/pflarue/ardop/blob/master/docs/USAGE_linux.md,"Verified TCP 8515, host-does-CAT, and PTT via rigctld/serial/GPIO/VOX (pflarue ardopcf)."
DroidPSK,Data modes (ALE/MARS/marine/aero),None (audio-coupled Android app; Wolphi LLC),n/a - set the rig manually.,"Android audio: acoustic coupling (phone mic/speaker), a Wolphi-Link interface on the headset jack, or a USB sound card via OTG.","VOX, or Wolphi-Link interface PTT (keys the rig from the TX audio / mic voltage).",Keep the TX audio low so the SSB rig's ALC barely moves.,A Wolphi-Link (or similar) cable is recommended.,PSK31/63 for Android.,confirmed,DroidPSK (Wolphi LLC) app documentation,,"Verified Wolphi audio-coupled/Wolphi-Link model, no CAT."
DSCdecoder,Data modes (ALE/MARS/marine/aero),None (receive; COAA). Optional radio-control scripts exist but tuning is normally manual,n/a - tune an MF/HF/VHF receiver to the DSC calling channels (or Navtex) manually; optional COAA radio-control scripts can steer some receivers.,"PC sound-card input from the receiver on DSC channels (2187.5 kHz, 156.525 MHz Ch70, etc.) / Navtex / DGPS.",n/a - receive only.,n/a - receive only.,An MF/HF/VHF receiver.,COAA decoder of GMDSS DSC calls.,confirmed,DSCdecoder (COAA),https://www.coaa.co.uk/dscdecoder.htm,Verified COAA DSCdecoder is a sound-card RX decoder for DSC/DGPS/Navtex (with optional radio-control scripts).
dumphfdl,Data modes (ALE/MARS/marine/aero),None for TX; it tunes the SDR it reads from (no transceiver CAT). Tomasz Lemiech (szpajder),n/a - CLI device args (--soapysdr / --iq-file / device string) plus the list of HFDL ground-station frequencies to watch (multichannel).,n/a - takes SDR I/Q input.,n/a - receive only.,n/a - receive only.,An SDR (SoapySDR-supported); feeds dumphfdl/airframes networks.,HF Data Link (HFDL) decoder.,confirmed,dumphfdl README (szpajder),https://github.com/szpajder/dumphfdl,"Verified multichannel HFDL SDR decoder (szpajder), RX only."
dumpvdl2,Data modes (ALE/MARS/marine/aero),None (SDR; szpajder),n/a - CLI device selection (--rtlsdr/--airspy/--soapysdr/--sdrplay) plus the VDL2 frequencies (default 136.975 MHz; multichannel supported).,n/a - takes SDR I/Q input.,n/a - receive only.,n/a - receive only.,RTL-SDR/Airspy/SoapySDR SDR.,VHF VDL Mode 2 (aircraft ACARS/data) decoder.,confirmed,dumpvdl2 README (szpajder),https://github.com/szpajder/dumpvdl2,"Verified VDL Mode 2 SDR decoder (szpajder), default 136.975 MHz, RX only."
gnuais / gnuaisgui,Data modes (ALE/MARS/marine/aero),None (sound card or SDR feed; no CAT),n/a - tune a receiver to the marine AIS channels manually (or feed rtl_ais output).,"Sound-card audio input from a 161.975/162.025 MHz receiver (audio mode), or an SDR feed (e.g. rtl_ais piped into gnuais).",n/a - receive only.,n/a - receive only.,A marine-band receiver or SDR.,Open-source AIS decoder (gnuaisgui is the GTK front-end).,confirmed,gnuais (Ruben Undheim),https://github.com/rubund/gnuais,"Verified gnuais/gnuaisgui decode AIS from sound-card audio (or an external demod/SDR feed); RX only, no CAT."
ION2G (Ion2G),Data modes (ALE/MARS/marine/aero),"Built-in CAT (Icom, Kenwood, Yaesu HF rigs; also Codan/Barrett) - ALE 2G/SELCALL terminal","Settings > Radio/CAT: select the rig, COM port, and baud, and define the ALE scan channel list.",Settings > Audio: select the sound-card input and output for the ALE 8-FSK tones.,"PTT via CAT, or via RTS/DTR on the CAT serial port (e.g. IC-7300 'USB Keying = RTS'); serial-line PTT preferred for low latency.",SSB/USB DATA mode; keep the tone drive so ALC barely moves.,none (runs on Windows 10/11 and macOS).,HF ALE 2G (MIL-STD-188-141B) plus CCIR-493-4 SELCALL terminal.,confirmed,ION2G ALE Software website,https://ion2g.app/,"Verified built-in CAT for Icom/Kenwood/Yaesu (plus Codan/Barrett), audio for 8-FSK tones; cross-platform Windows/macOS."
JAERO,Data modes (ALE/MARS/marine/aero),None (SDR or audio input; jontio),n/a - no transceiver CAT; input comes from an SDR application (via audio/virtual audio cable) or an L-band downconverter feeding a receiver.,"Select the audio input carrying the L-band Aero demod stream (e.g. from SDR#/SDRangel via VB-Cable, or a communications receiver).",n/a - receive only.,n/a - receive only.,An L-band SDR + downconverter; usually fed audio from another SDR program.,Decodes Inmarsat Classic Aero (C-channel voice/ACARS).,confirmed,JAERO Settings wiki (jontio),https://github.com/jontio/JAERO/wiki/Settings,"Verified JAERO decodes Classic Aero/SatCom ACARS (~1545 MHz) from sound-card/virtual-audio input; RX only, no CAT."
MARS-ALE,Data modes (ALE/MARS/marine/aero),Built-in CAT with extensive rig support (incl. MARS/military radios) over physical or USB VCP COM ports,"Setup/Configuration dialogs: select radio model, COM port and baud (CAT off when port=0), plus mode/frequency and the scan-channel list.",Sound-card/modem setup dialog: choose RX and TX audio devices for the ALE tones (USB sound device supported).,"PTT via CAT command, or a serial RTS/DTR line on a dedicated COM port.",SSB DATA mode; keep the sound-card tone drive low so ALC is minimal.,none,N2CKH's MIL-STD-188-141A ALE controller for MARS.,confirmed,MARS-ALE Radio Help Operator Guide (N2CKH),http://n2ckh.com/MARS_ALE_FORUM/aleradiohelp.pdf,"Substance verified against the N2CKH Radio Help Operator Guide. Minor refinement: settings live in MARS-ALE's Setup/Configuration dialogs (exact labels differ from a single 'Configuration > Radio/CAT' menu); CAT is enabled by assigning a COM port (COM=0 disables CAT), and the radio model auto-sets baud/handshaking."
MS-DMT (MIL-STD Data Modem Terminal),Data modes (ALE/MARS/marine/aero),Built-in CAT (radio-model driver over an RS-232/USB COM port),"Config > Radio/CAT: set the CAT COM port (1-16; 0=off) and select the rig model, which sets baud/framing; controls frequency/mode.",Config > Sound Card: select input and output devices (mix/match allowed) for the MIL-STD-188-110A serial-tone waveform.,"PTT via a dedicated RS-232 DTR or RTS line, or via CAT PTT.",SSB DATA mode; keep the audio drive low so ALC is minimal.,none (MARS); external async terminal apps optional.,N2CKH MS110A serial-tone FEC message terminal.,confirmed,MS-DMT User Guide (N2CKH),http://www.n2ckh.com/MARS_ALE_FORUM/MS-DMT_User_Guide.pdf,"Verified against the N2CKH MS-DMT User Guide. Refinement: CAT is OFF by default (CAT COM port=0); enable by entering a port 1-16, and the radio model auto-loads baud/handshaking. One physical RS-232 port is required for reliable PTT; RX/TX sound devices may be mixed/matched (48 kHz/16-bit)."
PC-ALE (PCALE),Data modes (ALE/MARS/marine/aero),Built-in CAT (many HF rigs); can also emulate Kenwood/Icom to 3rd-party software,"Settings > Radio (CAT): select the radio, COM port and baud; define the ALE scan-channel list.",Settings > Sound Card: select input and output devices for the 8-FSK ALE tones.,"PTT via CAT, or a serial RTS/DTR line.",SSB DATA mode; keep the tone drive low so ALC is minimal.,none,HFLINK's PC-ALE 2G ALE controller.,confirmed,HFLINK PC-ALE Setup / PC-ALE Radio Control Knowledge Base (N2CKH),http://hflink.com/pcale/,Verified via HFLINK PC-ALE setup and the N2CKH PC-ALE Radio Control KB. Note: multi-channel ALE needs a CAT-controllable rig; single-channel ALE works with any frequency-stable SSB rig with no CAT.
PC-HFDL,Data modes (ALE/MARS/marine/aero),None (audio input from an HF SSB receiver),n/a - tune the SSB receiver to the HFDL frequency manually; software options set soundcard/channel only.,Sound-card line/mic input fed from an HF SSB receiver (2.8 kHz bandwidth preferred).,n/a - receive only.,n/a - receive only.,An HF SSB receiver.,Charles Brain G4GUO's classic HFDL decoder.,confirmed,PC-HFDL documentation (Charles Brain) / kloth.net HFDL monitoring,https://www.kloth.net/radio/hfdl-monitoring.php,"Verified. Written by Charles Brain (G4GUO); receive-only ARINC 635-3 HFDL decoder. Setup options cover sound card, channel, timeout, DDE and logfile; no rig CAT or PTT."
PlanePlotter,Data modes (ALE/MARS/marine/aero),"None for transceiver CAT; ingests SDR, ACARS audio, or serial/network Mode-S/ADS-B hardware","n/a - no transceiver CAT; input comes from SDR, sound-card ACARS audio, or a serial/network Mode-S/ADS-B receiver.",For ACARS: Options > Audio > ACARS > Source selects the sound-card input from a VHF-AM receiver.,n/a - receive only.,n/a - receive only.,"An SDR/ADS-B receiver, or a VHF receiver for ACARS.",COAA ADS-B/ACARS aircraft plotting and aggregation.,confirmed,COAA PlanePlotter,https://www.coaa.co.uk/planeplotter.htm,"Verified against COAA. Refinement: for ACARS the audio source is set at Options > Audio > ACARS > Source (VHF-AM receiver, AM detector output, not a discriminator tap). Also ingests Mode-S/ADS-B (Kinetic SBS-1, AirNav RadarBox) and HFDL. Receive only."
rtl-ais,Data modes (ALE/MARS/marine/aero),"None (RTL-SDR, controlled via CLI flags)","n/a - CLI options set device index, ppm and gain; AIS frequencies are fixed.",n/a - consumes RTL-SDR I/Q directly (outputs NMEA over UDP).,n/a - receive only.,n/a - receive only.,An RTL-SDR dongle; feeds AIS plotters/aggregators.,Lightweight RTL-SDR AIS receiver.,confirmed,rtl-ais README (dgiardini),https://github.com/dgiardini/rtl-ais,"Verified. Command-line RTL-SDR AIS receiver/decoder (dgiardini). CLI flags set device index, ppm and gain; the two AIS channels (161.975/162.025 MHz) are fixed. Receive only."
ShipPlotter,Data modes (ALE/MARS/marine/aero),None,"n/a - tune the VHF receiver to the AIS frequencies manually, or configure the AIS receiver's serial/NMEA port (e.g. 38400,8,N,1).","Sound-card input from a marine-band/VHF receiver (48 kHz), or serial/USB NMEA from a dedicated AIS receiver.",n/a - receive only.,n/a - receive only.,A marine receiver or AIS receiver hardware.,COAA AIS decoding and vessel plotting.,confirmed,COAA ShipPlotter FAQ,http://www.coaa.co.uk/shipplotterfaq.htm,"Verified against COAA. Two input paths: sound-card audio from a VHF receiver tuned to the AIS frequencies (soundcard run at 48 kHz), or NMEA serial from a dedicated AIS receiver (typically 38400,8,N,1). Receive only."
Sigmira,Data modes (ALE/MARS/marine/aero),None for transceiver CAT; native control of RTL-SDR / RFSpace / SDRplay SDR hardware,"n/a - select the SDR device in-app; for audio-input mode, tune the conventional receiver manually.","Sound-card input from a conventional receiver (also virtual audio cables), or use the internal SDR path.",n/a - receive only.,n/a - receive only.,Optional RTL-SDR/RFSpace/SDRplay SDR.,"Receive-only multi-signal decoder (PSK31, STANAG S4285, CW, etc.).",confirmed,Sigmira Operations Manual (Steve Harlow),http://www.saharlow.com/technology/sigmira/sigmira_manual.pdf,"Verified against the Sigmira manual (Steve Harlow). No transceiver CAT; works from a conventional receiver via sound card, or natively controls RTL-SDR / RFSpace SDR-IQ/SDR-14 / SDRplay RSP / SDR-Radio networked receivers. Receive only (PSK31, RTTY, CW, STANAG 4285, HFDL, M141, etc.)."
TIVAR,Data modes (ALE/MARS/marine/aero),none built-in emphasized (use with an SSB HF radio; set frequency manually or via a separate CAT app),n/a — TIVAR has no rig CAT of its own; set the SSB rig manually.,Sound-card input/output for the MIL-STD/serial-tone data waveforms.,PTT via VOX or a serial COM RTS/DTR interface.,SSB DATA mode; keep the audio drive so ALC is minimal.,An SSB HF radio plus a PTT interface.,MARS data-mode terminal for serial-tone waveforms.,uncertain,No official TIVAR documentation found,,Could not locate official TIVAR documentation/manual to verify. The claimed profile (sound-card MIL-STD/serial-tone waveform tool with no built-in rig CAT; PTT via VOX or a serial RTS/DTR line; SSB DATA with low drive) is plausible for this software class but is unverified against an official source.
VARA FM,Data modes (ALE/MARS/marine/aero),"None for frequency CAT (sound-card modem); PTT only, via VOX / CAT / serial RTS-DTR (also Hamlib/CM108). Frequency CAT is handled by the host (VarAC/Winlink).","Settings > PTT: pick VOX, CAT, or RTS/DTR on a COM port (Hamlib/CM108 also supported). No rig-model frequency CAT here - that lives in the host app (VarAC/Winlink).","Settings > SoundCard: select input and output devices (through an FM transceiver, ideally the 9600-baud/flat-audio port).","Settings > PTT: VOX, CAT, serial RTS/DTR, Hamlib, or CM108.",FM - no ALC concern; set deviation/audio level so the signal is not over-deviated.,"Winlink Express or VarAC connect over TCP (command port 8300, +8330 for a second instance).",Sound-card modem for FM packet-style data; needs a proper discriminator/flat-audio connection for high rates.,confirmed,VARA (EA5HVK / rosmodem) and Winlink VARA FM quick-setup,https://rosmodem.wordpress.com/,"Verified against VARA (EA5HVK) and Winlink VARA FM quick-setup guides. VARA is a sound-card modem: it does its own PTT but frequency CAT is done by the HOST app (VarAC/Winlink Express), not VARA. PTT choices in Settings > PTT are VOX, CAT, or a serial COM (RTS/DTR); VARA also supports Hamlib and CM108 PTT. There is no full rig-model frequency-CAT UI in VARA itself."
VarAC,Data modes (ALE/MARS/marine/aero),"VarAC's own rig control (Direct CAT, FLrig, OmniRig, or Hamlib) for frequency + PTT; audio via the external VARA modem over TCP","Settings > 'RIG control & VARA Configuration': choose the PTT and frequency-control engine (Direct CAT / FLrig / OmniRig / Hamlib), set rig model/port/baud, and use TEST; set the VARAHF.EXE path and the VARA modem TCP host/port (default 8300).","Audio is handled by the VARA modem - set the sound device in VARA, not in VarAC.",PTT via VarAC's chosen engine (Direct CAT / FLrig / OmniRig / Hamlib) or RTS/DTR; VARA's own PTT can also be used.,"Set in the VARA modem/rig: SSB DATA mode, drive so ALC barely moves.",A running VARA HF/FM modem; Hamlib or OmniRig for CAT.,Keyboard-to-keyboard + P2P file/email chat front-end over VARA.,corrected,VarAC Quick Start Guide,https://www.varac-hamradio.com/post/varac-quick-start-guide,"The claim is too narrow. VarAC's Settings > 'RIG control & VARA Configuration' lets you choose PTT and frequency control via Direct CAT, FLrig, OmniRig, OR Hamlib (rigctld) - not only Hamlib/OmniRig - and RTS/DTR can be used for PTT. TEST buttons verify each. Audio is handled by the VARA modem (set the sound device in VARA); point VarAC at the running VARA HF/FM modem's TCP port (VARA HF default 8300) and optionally its VARAHF.EXE path for auto-launch."
WINMOR,Data modes (ALE/MARS/marine/aero),None of its own (sound-card modem); PTT via CAT/serial; frequency CAT handled by Winlink Express,WINMOR TNC Setup / Advanced PTT settings brings up the CAT settings (radio type + COM/baud) for PTT-via-CAT; station frequency CAT is configured in Winlink Express Radio Setup.,WINMOR TNC Sound Card setup: choose capture and playback devices.,"PTT via serial RTS/DTR, via CAT, or VOX (a PTT DLL is needed for some sound-card interfaces).",SSB DATA mode; set drive so ALC barely moves and keep audio low.,Winlink Express (RMS Express) as host; now largely replaced by ARDOP.,Legacy TAPR/ARSFI Winlink HF sound-card mode.,confirmed,Winlink Express / WINMOR setup documentation,https://winlink.org/,"Verified against Winlink Express documentation. Note WINMOR is deprecated (replaced by ARDOP and VARA HF). In the WINMOR TNC Setup you assign the sound-card capture/playback; PTT is set in the Advanced PTT/CAT settings (serial RTS/DTR, CAT, or VOX); frequency CAT is done by Winlink Express (Radio Setup)."
YaDD (Yet Another DSC Decoder),Data modes (ALE/MARS/marine/aero),None (receive-only); optional external CAT/rig link only to display/log frequency,Optional - Setup can read frequency from a rig/CAT link; primarily just manual tuning of the DSC channels.,Sound-card input from an MF/HF/VHF receiver on the DSC calling channels.,n/a - receive only.,n/a - receive only.,An MF/HF/VHF receiver.,Decodes GMDSS DSC traffic.,confirmed,YADD (Dirk Claessens) - ILGRadio listing,https://www.ilgradio.com/software/receiver-software/YADD.html,Verified. Written by Dirk Claessens (now SK; software still distributed). Receive-only DSC decoder; sound-card audio from an MF/HF/VHF receiver on the DSC calling channels. It can optionally read frequency from a CAT/rig link for logging.
YaND,Data modes (ALE/MARS/marine/aero),None (receive-only),n/a - tune the MF/HF receiver to the NAVTEX channels manually.,Sound-card audio input from the receiver.,n/a - receive only.,n/a - receive only.,An MF/HF receiver.,Yet Another NAVTEX Decoder (SITOR-B); receive-only.,confirmed,YaND (Dirk Claessens) - DXZone NAVTEX software listing,https://www.dxzone.com/catalog/Software/Navtex/,Verified. Written by Dirk Claessens; receive-only NAVTEX decoder using the same sensitive FSK audio detector as YaDD. Sound-card input from an MF/HF receiver tuned to NAVTEX channels.
YaND (Yet Another NAVTEX Decoder),Data modes (ALE/MARS/marine/aero),None (receive-only),"n/a - tune to the NAVTEX channels (518 kHz, 490 kHz, 4209.5 kHz) manually.",Sound-card input from an MF/HF receiver tuned to the NAVTEX channels.,n/a - receive only.,n/a - receive only.,An MF/HF receiver.,NAVTEX SITOR-B decoder.,confirmed,YaND (Dirk Claessens) - DXZone NAVTEX software listing,https://www.dxzone.com/catalog/Software/Navtex/,"Verified (duplicate of the YaND entry). Receive-only NAVTEX decoder by Dirk Claessens; sound-card input from an MF/HF receiver on the NAVTEX channels (518, 490, 4209.5 kHz)."
