Kind,Item,Model,Field,Was,Corrected To,Note
radio,Ten-Tec,Paragon II (586),ptt_method,VOX/interface RTS (or software once interfaced),Software PTT via serial (or interface RTS/VOX),"Claim said 'via optional RS-232 interface': the 586 has a BUILT-IN RS-232 port with a more advanced logic/command set (runs Icom-style logging programs), unlike the 585 which needs the Model 258. Baud 1200/8-N-1 is the documented interface value but I could not re-open the full manual (PDF too large to fetch) to re-verify the exact rate."
radio,QRP Labs,QSX,cat_protocol,"Kenwood-style CAT (expected, like QDX/QMX)","N/A — project CANCELLED, never released (would have used Kenwood-style CAT like QDX/QMX)",The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,baud,USB virtual serial (expected),N/A — never released,The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,data_bits,8,N/A,The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,stop_bits,1,N/A,The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,parity,None,N/A,The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,builtin_soundcard,"Expected Yes (built-in USB sound card, like QDX/QMX)",N/A — never released (design intended a built-in USB sound card like QDX/QMX),The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,recommended_interface,None (single USB cable) — expected,N/A — never released; superseded by the QMX+,The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,QRP Labs,QSX,ptt_method,CAT PTT over USB (expected),N/A — never released,The claim treated QSX as a shipping product with 'expected' specs. It is NOT a product: QRP Labs officially cancelled the QSX on 2025-03-18 — it was never released. Its functionality was absorbed by the QMX+ (which covers ~95%+ of QSX at higher performance). There are therefore no authoritative production CAT specs to report.
radio,Icom,IC-375,baud,1200 (fixed on this era),1200 (fixed),"Address 0x12, 1200-baud fixed, 8/N/1, no soundcard all confirmed. CORRECTED PTT: this mid-1980s VHF/UHF all-mode rig has no CI-V transmit command, so CAT/CI-V PTT is impossible — key via interface RTS on the ACC SEND line or VOX. ACC is an 8-pin DIN, not 13-pin."
radio,Icom,IC-375,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI cable for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x12, 1200-baud fixed, 8/N/1, no soundcard all confirmed. CORRECTED PTT: this mid-1980s VHF/UHF all-mode rig has no CI-V transmit command, so CAT/CI-V PTT is impossible — key via interface RTS on the ACC SEND line or VOX. ACC is an 8-pin DIN, not 13-pin."
radio,Icom,IC-375,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND line; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x12, 1200-baud fixed, 8/N/1, no soundcard all confirmed. CORRECTED PTT: this mid-1980s VHF/UHF all-mode rig has no CI-V transmit command, so CAT/CI-V PTT is impossible — key via interface RTS on the ACC SEND line or VOX. ACC is an 8-pin DIN, not 13-pin."
radio,Icom,IC-471A,baud,1200 (fixed on this era),1200 (fixed),"Address 0x22, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: early-1980s CI-V has no transmit command — CAT/CI-V PTT not possible; use interface RTS on ACC SEND line or VOX. ACC is 8-pin DIN."
radio,Icom,IC-471A,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x22, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: early-1980s CI-V has no transmit command — CAT/CI-V PTT not possible; use interface RTS on ACC SEND line or VOX. ACC is 8-pin DIN."
radio,Icom,IC-471A,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x22, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: early-1980s CI-V has no transmit command — CAT/CI-V PTT not possible; use interface RTS on ACC SEND line or VOX. ACC is 8-pin DIN."
radio,Icom,IC-471H,baud,1200 (fixed on this era),1200 (fixed),"Address 0x22 (same as IC-471A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS on ACC SEND line or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-471H,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x22 (same as IC-471A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS on ACC SEND line or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-471H,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x22 (same as IC-471A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS on ACC SEND line or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-475A,baud,1200 (fixed on this era),1200 (fixed),"Address 0x14, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-475A,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x14, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-475A,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x14, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-475H,baud,1200 (fixed on this era),1200 (fixed),"Address 0x14 (same as IC-475A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-475H,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x14 (same as IC-475A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-475H,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x14 (same as IC-475A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-575A,baud,1200 (fixed on this era),1200 (fixed),"Address 0x16, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-575A,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x16, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-575A,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x16, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-575H,baud,1200 (fixed on this era),1200 (fixed),"Address 0x16 (same as IC-575A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-575H,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE jack + audio to ACC (CT-17/FTDI for CAT alt; SignaLink audio-only alt),Digirig Mobile (CI-V serial to REMOTE jack; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x16 (same as IC-575A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-575H,ptt_method,CAT (CI-V) or Digirig RTS keying via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x16 (same as IC-575A), 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: no CI-V transmit command — hardware RTS/SEND or VOX only. ACC is 8-pin DIN."
radio,Icom,IC-706,baud,1200 (default; menu-selectable up to 9600),Auto (factory default); menu-selectable (original commonly to 9600; up to 19200),"Address 0x48, 8/N/1, no soundcard confirmed. Baud: factory default is 'Auto', not fixed 1200; menu-selectable. CORRECTED PTT: per N1MM, IC-706 firmware has NO CAT command to key the radio — PTT must be hardware RTS on the ACC SEND line or VOX."
radio,Icom,IC-706,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x48, 8/N/1, no soundcard confirmed. Baud: factory default is 'Auto', not fixed 1200; menu-selectable. CORRECTED PTT: per N1MM, IC-706 firmware has NO CAT command to key the radio — PTT must be hardware RTS on the ACC SEND line or VOX."
radio,Icom,IC-706,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on 13-pin ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-706 firmware","Address 0x48, 8/N/1, no soundcard confirmed. Baud: factory default is 'Auto', not fixed 1200; menu-selectable. CORRECTED PTT: per N1MM, IC-706 firmware has NO CAT command to key the radio — PTT must be hardware RTS on the ACC SEND line or VOX."
radio,Icom,IC-706MKII,baud,9600 (default; menu-selectable up to 19200),Auto (factory default); menu-selectable up to 19200,"Address 0x4E, 8/N/1, no soundcard confirmed. Baud: factory default is 'Auto' (max 19200), not fixed 9600. CORRECTED PTT: per N1MM the IC-706MKII has no CAT command to key the radio — hardware RTS/SEND or VOX only."
radio,Icom,IC-706MKII,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x4E, 8/N/1, no soundcard confirmed. Baud: factory default is 'Auto' (max 19200), not fixed 9600. CORRECTED PTT: per N1MM the IC-706MKII has no CAT command to key the radio — hardware RTS/SEND or VOX only."
radio,Icom,IC-706MKII,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on 13-pin ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-706 firmware","Address 0x4E, 8/N/1, no soundcard confirmed. Baud: factory default is 'Auto' (max 19200), not fixed 9600. CORRECTED PTT: per N1MM the IC-706MKII has no CAT command to key the radio — hardware RTS/SEND or VOX only."
radio,Icom,IC-706MKIIG,baud,"19200 (default; menu-selectable, Auto)",Auto (factory default); menu-selectable up to 19200,"Address 0x58 confirmed (manual factory default; some 3rd-party docs wrongly cite 4Eh which is the MKII). Manual confirms CI-V baud default is 'Auto' (19200 available), not fixed 19200; 8/N/1. CORRECTED PTT: per N1MM the IC-706MKIIG firmware has no CAT key command — hardware RTS/SEND or VOX only."
radio,Icom,IC-706MKIIG,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x58 confirmed (manual factory default; some 3rd-party docs wrongly cite 4Eh which is the MKII). Manual confirms CI-V baud default is 'Auto' (19200 available), not fixed 19200; 8/N/1. CORRECTED PTT: per N1MM the IC-706MKIIG firmware has no CAT key command — hardware RTS/SEND or VOX only."
radio,Icom,IC-706MKIIG,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on 13-pin ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-706 firmware","Address 0x58 confirmed (manual factory default; some 3rd-party docs wrongly cite 4Eh which is the MKII). Manual confirms CI-V baud default is 'Auto' (19200 available), not fixed 19200; 8/N/1. CORRECTED PTT: per N1MM the IC-706MKIIG firmware has no CAT key command — hardware RTS/SEND or VOX only."
radio,Icom,IC-707,baud,1200 (default; some units to 9600),1200 default; set-mode selectable to 9600,"Address 0x3E, 8/N/1, no soundcard confirmed; baud 1200 default, set-mode to 9600. CORRECTED PTT: IC-707 does not support PTT (or CW) over CI-V — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-707,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x3E, 8/N/1, no soundcard confirmed; baud 1200 default, set-mode to 9600. CORRECTED PTT: IC-707 does not support PTT (or CW) over CI-V — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-707,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-707 firmware","Address 0x3E, 8/N/1, no soundcard confirmed; baud 1200 default, set-mode to 9600. CORRECTED PTT: IC-707 does not support PTT (or CW) over CI-V — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-718,baud,"19200 (default; menu-selectable 9600/19200, Auto)",Auto (factory default); menu-selectable 300-19200,"Address 0x5E, 8/N/1, no soundcard confirmed. Baud: factory default 'Auto', selectable 300-19200 (claim's '9600/19200 only' understates the options). CORRECTED PTT: IC-718 has no CI-V PTT command — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-718,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x5E, 8/N/1, no soundcard confirmed. Baud: factory default 'Auto', selectable 300-19200 (claim's '9600/19200 only' understates the options). CORRECTED PTT: IC-718 has no CI-V PTT command — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-718,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on 13-pin ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-718 firmware","Address 0x5E, 8/N/1, no soundcard confirmed. Baud: factory default 'Auto', selectable 300-19200 (claim's '9600/19200 only' understates the options). CORRECTED PTT: IC-718 has no CI-V PTT command — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-725,baud,1200 (fixed on this era),1200 (fixed),"Address 0x28, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-725 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-725,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x28, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-725 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-725,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x28, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-725 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-726,baud,1200 (fixed on this era),1200 (fixed),"Address 0x30, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-726 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-726,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x30, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-726 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-726,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x30, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-726 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-728,baud,1200 (fixed on this era),1200 (fixed),"Address 0x38, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-728 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-728,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x38, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-728 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-728,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x38, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-728 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-729,baud,1200 (fixed on this era),1200 (fixed),"Address 0x3A, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-729 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-729,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x3A, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-729 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-729,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x3A, 1200-baud fixed, 8/N/1, no soundcard confirmed. CORRECTED PTT: per N1MM the IC-729 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-7300MK2,baud,115200 (default; menu Auto),115200 max over USB-C (factory CI-V baud default 'Auto'),"CORRECTED CI-V address: the IC-7300MK2 default is 0xB6 (B6h), NOT 0x94. 0x94 is the ORIGINAL IC-7300; the MK2 (released Dec 2025) was assigned a new address. All else confirmed: USB-C built-in Audio Codec with dual virtual COM ports, baud to 115200 (factory default 'Auto'), 8/N/1, CI-V/USB SEND PTT, single cable. (Note: Hamlib's USB_AF command differs on the MK2, unrelated to these fields.)"
radio,Icom,IC-7300MK2,civ_address,0x94 (default; can be set to 0x88),0xB6,"CORRECTED CI-V address: the IC-7300MK2 default is 0xB6 (B6h), NOT 0x94. 0x94 is the ORIGINAL IC-7300; the MK2 (released Dec 2025) was assigned a new address. All else confirmed: USB-C built-in Audio Codec with dual virtual COM ports, baud to 115200 (factory default 'Auto'), 8/N/1, CI-V/USB SEND PTT, single cable. (Note: Hamlib's USB_AF command differs on the MK2, unrelated to these fields.)"
radio,Icom,IC-7300MK2,recommended_interface,None (single USB-C cable),None - single USB Type-C cable (dual virtual COM ports + audio),"CORRECTED CI-V address: the IC-7300MK2 default is 0xB6 (B6h), NOT 0x94. 0x94 is the ORIGINAL IC-7300; the MK2 (released Dec 2025) was assigned a new address. All else confirmed: USB-C built-in Audio Codec with dual virtual COM ports, baud to 115200 (factory default 'Auto'), 8/N/1, CI-V/USB SEND PTT, single cable. (Note: Hamlib's USB_AF command differs on the MK2, unrelated to these fields.)"
radio,Icom,IC-7300MK2,ptt_method,CAT (CI-V) or USB SEND (RTS/DTR); no external interface,"CI-V (CAT) transmit command, or USB SEND (RTS/DTR); no external interface","CORRECTED CI-V address: the IC-7300MK2 default is 0xB6 (B6h), NOT 0x94. 0x94 is the ORIGINAL IC-7300; the MK2 (released Dec 2025) was assigned a new address. All else confirmed: USB-C built-in Audio Codec with dual virtual COM ports, baud to 115200 (factory default 'Auto'), 8/N/1, CI-V/USB SEND PTT, single cable. (Note: Hamlib's USB_AF command differs on the MK2, unrelated to these fields.)"
radio,Icom,IC-735,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x04, 1200-baud fixed, 8/N/1, no soundcard confirmed. Note: IC-735 (Icom's first CI-V rig) uses the older 4-byte CI-V frame. CORRECTED PTT: per N1MM the IC-735 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-735,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-735 firmware","Address 0x04, 1200-baud fixed, 8/N/1, no soundcard confirmed. Note: IC-735 (Icom's first CI-V rig) uses the older 4-byte CI-V frame. CORRECTED PTT: per N1MM the IC-735 does not support PTT over CI-V — hardware RTS/SEND or VOX only."
radio,Icom,IC-736,baud,1200 (default; some units to 9600),1200 default; set-mode selectable to 9600,"Address 0x40, 8/N/1, no soundcard confirmed; baud 1200 default, set-mode selectable to 9600 (same generation as IC-737). CORRECTED PTT: this generation has no CI-V transmit command — hardware RTS/SEND or VOX only."
radio,Icom,IC-736,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"Address 0x40, 8/N/1, no soundcard confirmed; baud 1200 default, set-mode selectable to 9600 (same generation as IC-737). CORRECTED PTT: this generation has no CI-V transmit command — hardware RTS/SEND or VOX only."
radio,Icom,IC-736,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in this radio's firmware","Address 0x40, 8/N/1, no soundcard confirmed; baud 1200 default, set-mode selectable to 9600 (same generation as IC-737). CORRECTED PTT: this generation has no CI-V transmit command — hardware RTS/SEND or VOX only."
radio,Icom,IC-737,baud,1200 (default; some units to 9600),1200 default; set-mode selectable 300/1200/4800/9600,"CONFIRMED address 0x3C and baud (Icom FAQ: default 1200, set-mode 300/1200/4800/9600), 8/N/1, no soundcard. CORRECTED PTT: IC-737 firmware has no CI-V transmit command — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-737,recommended_interface,Digirig Mobile - serial (CI-V) to REMOTE + audio to 13-pin ACC (SignaLink audio-only alt; CT-17/FTDI for CAT alt),Digirig Mobile (CI-V serial to REMOTE; audio to 13-pin ACC). SignaLink USB = audio-only alt; CT-17/FTDI = CAT-only alt,"CONFIRMED address 0x3C and baud (Icom FAQ: default 1200, set-mode 300/1200/4800/9600), 8/N/1, no soundcard. CORRECTED PTT: IC-737 firmware has no CI-V transmit command — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-737,ptt_method,CAT (CI-V) or Digirig RTS via ACC SEND; VOX alt,"Hardware PTT only: interface RTS keying on ACC SEND line, or VOX. No CI-V/CAT transmit command in IC-737 firmware","CONFIRMED address 0x3C and baud (Icom FAQ: default 1200, set-mode 300/1200/4800/9600), 8/N/1, no soundcard. CORRECTED PTT: IC-737 firmware has no CI-V transmit command — key via interface RTS on ACC SEND line or VOX."
radio,Icom,IC-737A,baud,1200 (default; some units to 9600),1200 default; set-mode selectable 300/1200/4800/9600,"CONFIRMED address 0x3C (same as IC-737) and baud (Icom FAQ: default 1200, set-mode 300/1200/4800/9600), 8/N/1, no soundcard. CORRECTED PTT: IC-737A firmware has no CI-V transmit command — key via interface RTS on ACC SEND line or VOX."
