Manufacturer,Model,Type,Bands,Modes,Era,Notes
Drake,TR-4,HF transceiver,HF 80-10m,SSB/CW/AM,1965,Popular tube transceiver; ~300W PEP input.
Drake,TR-4C,HF transceiver,HF 80-10m,SSB/CW/AM,1973,Refined TR-4 with crystal-controlled bands and better sideband.
Drake,TR-4Cw,HF transceiver,HF 80-10m,SSB/CW/AM,1975,TR-4C variant with built-in noise blanker.
Drake,TR-4Cw RIT,HF transceiver,HF 80-10m,SSB/CW/AM,1977,Final TR-4C variant adding receiver incremental tuning (RIT); production ended spring 1978.
Drake,TR-5,HF transceiver,HF 80-10m (+ WARC option),SSB/CW,1977,Solid-state PA transceiver using the DR-7 digital readout.
Drake,TR-6,6m transceiver,6m (50 MHz),SSB/CW/AM,1968,6-meter version of the TR-4-style transceiver; ~300W input.
Drake,TR-7,HF transceiver,HF 0-30 MHz (general-coverage RX),SSB/CW/AM/RTTY/FM,1978,"Fully solid-state, synthesized flagship of the 7-line; ~150W."
Drake,TR-72,VHF mobile/base,2m (144 MHz),FM,1972,Crystal-controlled 2m FM mobile/base transceiver.
Drake,TR-7A,HF transceiver,HF 0-30 MHz (general-coverage RX),SSB/CW/AM/RTTY/FM,1980,Updated TR-7 with improved front-end; companion to R-7A.
Drake,UV-3,VHF/UHF base/mobile,6m/2m/220/440 (module-based),FM,1981,Modular multiband FM transceiver; up to three band modules installed.
E.F. Johnson,Viking 500,HF transmitter,160-10 m,AM/CW,1955,High-power (~500W) tabletop transmitter.
E.F. Johnson,Viking 6N2 Transmitter,VHF transmitter,6 m & 2 m,AM/CW,1959,VHF transmitter/exciter for 50 and 144 MHz.
E.F. Johnson,Viking Adventurer,HF transmitter,80-10 m,CW,1955,"Popular low-cost novice CW transmitter, ~50W."
E.F. Johnson,Viking Challenger,HF transmitter,160-10 m,AM/CW,1958,"Economy transmitter, ~75W."
E.F. Johnson,Viking I,HF transmitter,160-10 m,AM/CW,1949,Company's first amateur transmitter (kit/wired).
E.F. Johnson,Viking II,HF transmitter,160-10 m,AM/CW,1952,Improved Viking I with bandswitching VFO capability.
E.F. Johnson,Viking Invader,HF transmitter,80-10 m,SSB/AM/CW,1960,SSB transmitter.
E.F. Johnson,Viking Invader 2000,HF transmitter,80-10 m,SSB/AM/CW,1962,High-power version with built-in linear (~2 kW PEP).
E.F. Johnson,Viking Navigator,HF transmitter/exciter,160-10 m,CW/AM,1958,Low-power (~40W) transmitter/exciter.
E.F. Johnson,Viking Pacemaker,HF transmitter,80-10 m,SSB/AM/CW,1957,Self-contained SSB/AM transmitter using phasing.
E.F. Johnson,Viking Ranger,HF transmitter,160-10 m,AM/CW,1954,"Classic transmitter/exciter with built-in VFO, ~75W."
E.F. Johnson,Viking Ranger II,HF transmitter,160-10 m,AM/CW,1961,Improved Ranger.
E.F. Johnson,Viking Valiant,HF transmitter,160-10 m,AM/CW,1956,High-power (~275W CW) tabletop transmitter.
E.F. Johnson,Viking Valiant II,HF transmitter,160-10 m,AM/CW/SSB (w/adapter),1962,Improved Valiant.
Eico,720,HF transmitter,80-10 m,CW,1958,Popular 90W-input CW transmitter kit.
Eico,723,HF transmitter,80-10 m,CW,1960,"Low-power CW transmitter kit, ~40W."
Eico,753,HF transceiver,80/40/20 m,SSB/CW/AM,1965,'Tri-Band' SSB transceiver kit.
ELAD,FDM-DUO,HF+6m SDR transceiver (standalone/PC),HF 160-10m + 6m (RX 9 kHz-54 MHz),SSB/CW/AM/FM/digital,2014,5W dual-mode SDR: works as standalone knob-and-display rig or with FDM-SW2 PC software. Red limited-edition color variant also sold.
ELAD,FDM-DUOr,HF SDR receiver (standalone/PC),RX 9 kHz-54 MHz,All-mode SDR RX (AM/SSB/CW/FM),2016,"Receiver-only sibling of FDM-DUO; 10 slots for user-populated pre-selector boards, standalone or PC operation."
ELAD,FDM-S1,HF SDR receiver (USB),RX ~20 kHz-30 MHz (up to ~200 MHz w/ conv.),All-mode SDR RX,2012,First-generation compact USB direct-sampling receiver; FDM-SW2 software.
ELAD,FDM-S2,HF/VHF SDR receiver (USB),RX 9 kHz-52 MHz + FM band/VHF via input,All-mode SDR RX,2014,"16-bit direct-sampling USB receiver, up to 6 MHz displayed bandwidth; widely used by hams/SWLs."
ELAD,FDM-S3,HF/VHF SDR receiver (USB/Ethernet),RX 9 kHz-108 MHz (direct) + VHF,All-mode SDR RX,2019,"High-end 122.88 MS/s direct-sampling receiver, up to ~24 MHz bandwidth; top of the FDM-S line."
Eldico,SSB-100,HF transmitter,HF 80-10m,SSB/CW/AM,late 1950s,Early commercial SSB transmitter; obscure boat-anchor maker.
Elecraft,K1,QRP HF transceiver kit,"HF, 2- or 4-band modules (80-15m)",CW,2000,Compact multiband QRP CW builder's kit; optional internal ATU and automatic antenna/noise-blanker; ~5-7W.
Elecraft,K2,HF transceiver kit,HF 160-10m,SSB/CW (AM/RTTY/PSK with options),1999,Elecraft's founding product; user-built 10-15W rig praised for receiver performance; many option boards.
Elecraft,K2/100,HF transceiver kit,HF 160-10m,SSB/CW,2001,K2 with internal 100W PA (KPA100) and optional KAT100 ATU.
Elecraft,K3,HF+6m transceiver,HF 160-6m,SSB/CW/AM/FM/data,2007,Modular down-conversion superhet with roofing filters and optional second RX; sold as kit or assembled (K3/10 10W and K3/100 100W); contest/DX favorite.
Elecraft,K3S,HF+6m transceiver,HF 160-6m,SSB/CW/AM/FM/data,2015,"Refined K3: improved front-end, higher-resolution ADC, better sync/USB; drop-in successor."
Elecraft,K4,Direct-sampling SDR HF/6m transceiver,HF 160-6m,SSB/CW/AM/FM/data,2019 announced / 2021 shipping,Flagship DDC/DUC SDR with 7-inch color touch display; 100W; base single-ADC model.
Elecraft,K4D,Direct-sampling SDR HF/6m transceiver,HF 160-6m,SSB/CW/AM/FM/data,2021,K4 with second ADC and a second bandpass-filter set enabling true dual-RX / diversity; user-upgradable from K4.
Elecraft,K4HD,Direct-sampling SDR HF/6m transceiver,HF 160-6m,SSB/CW/AM/FM/data,2022,K4D plus a dual-superhet high-dynamic-range module for extreme blocking dynamic range; top-tier variant.
Elecraft,KH1,Handheld QRP HF transceiver,HF 40/30/20/17/15m,CW,2023,"First true handheld HF CW rig; ~5W, internal ATU, Li-ion battery, built-in log; Edgewood field package."
Elecraft,KX1,QRP portable HF transceiver kit,HF 40/30/20m (80/17m option),CW,2003,Ultralight trail/backpacking rig; built-in keyer and optional KXAT1 ATU; ~4W.
Elecraft,KX2,QRP portable HF transceiver,HF 80-10m,SSB/CW/data,2016,Pocket-size 10-12W field rig; optional internal ATU and Li-ion battery; SDR-style architecture.
Elecraft,KX3,QRP portable HF/6m transceiver,HF 160-6m (2m with option),SSB/CW/AM/FM/data,2012,"Hybrid/software-defined portable, ~12W; high lab-grade RX; optional ATU, roofing filter, 2m module, 100W PA (KXPA100)."
Emtech,NW40,QRP transceiver (kit),40m (also NW20/NW30/NW80),CW,1990s-2000s,Superhet mono-band CW kit series (now discontinued).
Expert Electronics,ColibriDDC,HF SDR receiver,HF 0-55 MHz,All-mode SDR RX (AM/SSB/CW/FM/digital),2015,"Direct-sampling DDC receiver, 14-bit ADC @125 MS/s, Ethernet; RX-only companion to SunSDR line."
Expert Electronics,ColibriNANO,HF SDR receiver (USB dongle),HF 10 kHz-55 MHz,All-mode SDR RX (AM/SSB/CW/FM/digital),2016,"Pocket USB DDC receiver, 14-bit ADC, ~110 dB BDR, up to 3 MHz sample rate; remote-capable via ExpertSDR."
Expert Electronics,MB1,HF/VHF SDR transceiver + integrated PC (base),HF 160-6m + 2m,SSB/CW/AM/FM/digital,2016,'Mini Base 1' all-in-one: DDC/DUC SDR with classic front panel + onboard Intel Core i7 PC and display; standalone operation.
Expert Electronics,MB1 Prime,HF/VHF SDR transceiver + integrated PC (base),HF 160-6m + 2m,SSB/CW/AM/FM/digital,2021,Upgraded MB1 with faster embedded PC and refinements; high-end DUC/DDC standalone transceiver.
Expert Electronics,MB2,HF/VHF SDR transceiver + integrated PC (base),HF 160-6m + 2m,SSB/CW/AM/FM/digital,2023,"Second-generation MB standalone base transceiver, updated hardware/screen over MB1 Prime."
Expert Electronics,SunSDR (first generation),HF SDR transceiver,HF (0.1-30 MHz),SSB/CW/AM/FM/digital,2011,"Original QSD/quadrature-sampling SDR transceiver, low power; predecessor to the DDC/DUC SunSDR2 line. PC-hosted."
Expert Electronics,SunSDR2,HF/VHF SDR transceiver,HF 160-6m + 2m,SSB/CW/AM/FM/digital,2014,"First DDC/DUC SunSDR2; direct-sampling RX + direct up-conversion TX, ~15W HF. Works over Ethernet/WiFi with ExpertSDR2."
Expert Electronics,SunSDR2 DX,HF/VHF SDR transceiver,HF 160-6m + 2m,SSB/CW/AM/FM/digital,2017,"Marketed as world's smallest 100W 160m-6m + 2m SDR; contest/DXpedition focus, dual RX, DUC/DDC."
Expert Electronics,SunSDR2 PRO,HF/VHF SDR transceiver,HF 160-6m + 2m,SSB/CW/AM/FM/digital,2015,"Compact DDC/DUC SDR, ~15W HF / 7W VHF; dual RX, built-in soundcard, ExpertSDR2/3. Popular base + field radio."
Expert Electronics,SunSDR2 QRP,HF+6m SDR transceiver,HF 160-10m + 6m,SSB/CW/AM/FM/digital,2018,"5W QRP DDC/DUC SDR, portable variant of the SunSDR2 platform."
FDK (Fukuyama Denki),Multi-2000,VHF mobile,2m,FM,1970s,2m FM mobile.
FDK (Fukuyama Denki),Multi-2700,VHF all-mode transceiver,2m,SSB/CW/FM,late 1970s,Reputed first Japanese all-mode 2m rig to enable single-box OSCAR satellite work.
FDK (Fukuyama Denki),Multi-700,VHF mobile,2m,FM,1970s,PLL 2m FM mobile; FDK also OEM'd VHF gear for KLM in the US.
FDK (Fukuyama Denki),Multi-750,VHF mobile,2m,FM,1970s,2m FM mobile (750E export variant).
FDK (Fukuyama Denki),Multi-U11,UHF transceiver,70cm,SSB/FM,1970s,70cm counterpart in the Multi line.
FlexRadio Systems,FLEX-1500,QRP SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2010,Compact USB-connected 5W QRP SDR using PowerSDR.
FlexRadio Systems,FLEX-3000,SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2009,Single-FireWire desktop 100W SDR; PowerSDR host software.
FlexRadio Systems,FLEX-5000A,SDR transceiver,HF 160-6m (2m with option),SSB/CW/AM/FM/digital,2007,FireWire 100W SDR; optional second receiver and 2m/VHF transverter module; PowerSDR.
FlexRadio Systems,FLEX-6300,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2014,Entry Signature-series 100W DDC/DUC SDR; two slice receivers (one active); SmartSDR/Ethernet.
FlexRadio Systems,FLEX-6400,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2017,"100W SDR, 2 slice receivers, Ethernet + SmartLink remote; requires PC/Maestro."
FlexRadio Systems,FLEX-6400M,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2017,FLEX-6400 with integrated 8-inch capacitive touchscreen front panel for standalone use.
FlexRadio Systems,FLEX-6500,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2013,Signature-series 100W SDR with 4 slice receivers.
FlexRadio Systems,FLEX-6600,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2017,"100W SDR, 4 slice receivers and dual SCU/preselectors for contest/SO2R; requires PC/Maestro."
FlexRadio Systems,FLEX-6600M,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2017,FLEX-6600 with integrated 8-inch touchscreen front panel.
FlexRadio Systems,FLEX-6700,Direct-sampling SDR transceiver,HF 160-6m + 2m,SSB/CW/AM/FM/digital,2013,"Flagship Signature-series SDR with 8 slice receivers, dual ADC, and integrated 2m coverage; 100W HF."
FlexRadio Systems,FLEX-6700R,SDR receiver,HF 160-6m + 2m,SSB/CW/AM/FM/digital (RX),2013,Receiver-only version of the 6700 with 8 slice receivers/diversity; no transmitter.
FlexRadio Systems,FLEX-8400,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2024,"New-generation 100W SDR; 2 slice receivers, single SCU, 3rd-order bandpass filters; full-duplex cross-band, built-in remote."
FlexRadio Systems,FLEX-8400M,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2024,FLEX-8400 with integrated touchscreen front panel for standalone operation.
FlexRadio Systems,FLEX-8600,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2024,"Top 8000-series SDR; 4 slice receivers, dual SCU, 7th-order contest-band filters; 100W."
FlexRadio Systems,FLEX-8600M,Direct-sampling SDR transceiver,HF 160-6m,SSB/CW/AM/FM/digital,2024,FLEX-8600 with integrated touchscreen front panel.
FlexRadio Systems,SDR-1000,SDR transceiver (PC/soundcard),HF 160-6m (0-65 MHz with options),SSB/CW/AM/FM/digital,2003,Pioneering software-defined transceiver running PowerSDR; requires a PC sound card; QRP/QRO with external PA options.
Four State QRP Group (4SQRP),Bayou Jumper,QRP transceiver (kit),40m,CW,2016,'Paraset'-style crystal TX + regen RX kit using the NS-40 spiral-inductor transmitter.
Four State QRP Group (4SQRP),Cricket 80,QRP transceiver (kit),80m,CW,2017,"Ultra-simple no-toroid, no-alignment CW transceiver (NM0S design)."
Four State QRP Group (4SQRP),NS-40,QRP transmitter (kit),40m,CW,2010s,Class-E spiral-PCB-inductor CW transmitter ('None Simpler'); FDIM homebrew-contest winner.
Galaxy,DX-2527,HF 10m transceiver (base),10m,SSB/AM/FM/PA,1990s,"Discontinued 10m amateur base station, sibling to the 2517."
Galaxy,DX-29HP,HF 10m transceiver (mobile),10m,AM/FM/PA,2010s,"Compact AM/FM 10m amateur mobile, dual MOSFET finals."
Galaxy,DX-33HML,HF 10m transceiver (mobile),10m,AM/FM/PA,2000s,Compact 10m amateur AM/FM mobile with high/med/low power switch.
Galaxy,DX-44V,HF 10m transceiver (mobile),10m,AM/FM/PA,2000s,"Mid-size 10m amateur AM/FM mobile, ~45W."
Galaxy,DX-45MP,HF 10m transceiver (mobile),10m,AM/FM/PA,2000s,Compact 10m AM/FM mobile with dual MOSFET finals.
Galaxy,DX-47HP,HF 10m transceiver (mobile),10m,AM/FM/PA,2010s,"100W AM/FM 10m amateur mobile, 7-color display, dual MOSFET finals."
Galaxy,DX-48T,HF 10m transceiver (mobile),10m,AM/FM/PA,2000s,10m amateur AM/FM mobile.
Galaxy,DX-55V,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,"Multimode (SSB) 10m amateur mobile, ~45W."
Galaxy,DX-66V,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,Multimode 10m amateur mobile with SSB.
Galaxy,DX-73V,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,Full-featured multimode 10m amateur mobile.
Galaxy,DX-77HML,HF 10m transceiver (mobile),10m,AM/FM/PA,2000s,10m amateur AM/FM mobile with high/med/low output.
Galaxy,DX-86V,HF 10m transceiver (mobile),10m,SSB/AM/PA,2010s,Mid-size 45W 10m amateur mobile with AM/SSB.
Galaxy,DX-88HL,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,"Larger multimode 10m amateur mobile, SSB, high power."
Galaxy,DX-93T,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,Multimode 10m amateur mobile.
Galaxy,DX-94HP,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2010s,High-power multimode 10m amateur mobile.
Galaxy,DX-95T2,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,"Full-feature multimode 10m amateur mobile, frequency counter."
Galaxy,DX-98VHP,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2010s,High-power SSB 10m amateur mobile.
Galaxy,DX-99V,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2000s,"Popular full-size multimode 10m amateur mobile, ~45W."
Galaxy,DX-99V2,HF 10m transceiver (mobile),10m,SSB/AM/FM/PA,2010s,"Updated all-mode 10m amateur mobile, ~45W; revised 99V."
Galaxy,Galaxy 2000,HF transceiver,80-10 m,SSB/CW,1965,High-power Galaxy with matching linear.
Galaxy,Galaxy 300,HF transceiver,80/40/20 m,AM/SSB/CW,1963,"Economy 3-band transceiver, ~170W."
Galaxy,Galaxy FM-210,VHF transceiver,2 m,FM,1969,"Crystal-controlled 2-meter FM transceiver, 5W."
Galaxy,Galaxy GT-550,HF transceiver,80-10 m,SSB/CW,1967,"Later 5-band transceiver, ~250W; matching AC/DC supplies."
Galaxy,Galaxy III,HF transceiver,80/40/20 m,SSB/CW,1962,Early 3-band SSB transceiver (WRL/Galaxy).
Galaxy,Galaxy R-530,communications receiver,0.5-30 MHz,AM/SSB,1967,Standalone general-coverage receiver.
Galaxy,Galaxy V,HF transceiver,80-10 m,SSB/CW,1964,"Popular 5-band tube SSB transceiver, ~200W."
Galaxy,Galaxy V Mark 2,HF transceiver,80-10 m,SSB/CW,1966,"Improved Galaxy V, ~260W."
Galaxy,Galaxy V Mark 3,HF transceiver,80-10 m,SSB/CW,1968,Further-improved Galaxy V.
Galaxy (Galaxy Radios),DX-2517,HF 10m transceiver (base),10m,SSB/AM/FM/CW/PA,1990s,"Flagship 10m amateur base; ~10W AM / 25W SSB, dual meters, frequency counter, talkback."
Genave,GTX-2,VHF mobile,2m,FM,early 1970s,Early crystal-controlled 2m FM mobile (General Aviation Electronics).
Genesis Radio,G3020,SDR transceiver (kit),30m/20m,SSB/CW/digital,2010s,Dual-band 5W QRP through-hole SDR kit (~440 components).
Genesis Radio,G40,SDR transceiver (kit),40m,SSB/CW/digital,2010s,"5W QRP mono-band SDR kit (YU1LM design, kitted by VK1AA)."
Genesis Radio,G59,SDR transceiver (kit),HF 160-6m,SSB/CW/digital,2010s,"All-mode SoftRock-derived SDR kit, 10 mW (boosted to 10W with GPA10 amp)."
Gonset,Communicator (6 m),VHF transceiver,6 m,AM,1953,The original 'Gooney Box' AM transceiver.
Gonset,Communicator II,VHF transceiver,6 m,AM,1955,Improved Communicator.
Gonset,Communicator III (2 m),VHF transceiver,2 m,AM,1958,2-meter version of Communicator III.
Gonset,Communicator III (6 m),VHF transceiver,6 m,AM,1958,Popular AM base/portable for 6 m.
Gonset,Communicator IV (2 m),VHF transceiver,2 m,AM,1961,2-meter Communicator IV.
Gonset,Communicator IV (220),VHF transceiver,1.25 m (220 MHz),AM,1962,"220 MHz version, 10W AM."
Gonset,Communicator IV (6 m),VHF transceiver,6 m,AM,1961,Final Gooney Box generation.
Gonset,G-43,communications receiver,0.54-30 MHz,AM,1958,General-coverage receiver.
Gonset,G-50,VHF mobile transceiver,6 m,AM,1959,"6-meter mobile AM transceiver, 30W."
Gonset,G-63,communications receiver,HF + 6 m,AM/SSB/CW,1960,Ham-band receiver.
Gonset,G-66,mobile receiver,HF (10-160 m),AM/SSB/CW,1955,Companion mobile receiver to the G-77 transmitter.
Gonset,G-66B,mobile receiver,HF (10-160 m),AM/SSB/CW,1957,Improved G-66.
Gonset,G-76,HF/VHF mobile transceiver,80-10 m + 6 m,AM,1960,"Combined HF+6m mobile transceiver, 60W."
Gonset,G-77,mobile transmitter,80-10 m,AM/CW,1956,"HF mobile transmitter, 30W."
Gonset,G-77A,mobile transmitter,80-10 m,AM/CW,1957,Improved G-77.
Gonset,GC-102 (GSB-101 exciter),HF transmitter,80-10 m,SSB,1962,100W SSB exciter/transmitter.
Gonset,Gonset Commander,HF/VHF transmitter,6-160 m,AM/CW,1952,50W transmitter.
Gonset,GSB-100,HF transmitter,80-10 m,AM/SSB/CW,1958,"SSB/AM transmitter, ~100W."
Gonset,GSB-6,VHF transceiver,6 m,AM/SSB/CW,1963,"6-meter SSB/AM base, ~90W."
Gonset,Sidewinder 900A,VHF transceiver,2 m,AM/SSB/CW,1964,"2-meter SSB/AM transceiver, ~20W."
Gonset,Sidewinder 910A,VHF transceiver,6 m,AM/SSB/CW,1964,6-meter version of the Sidewinder.
Guohetec (Guohe Electronic),PMR-171,"HF/VHF/UHF transceiver (SDR, portable/manpack)",RX 100 kHz-2 GHz; TX HF/VHF/UHF,SSB/CW/AM/FM/RTTY/FT8/DMR(opt)/WFM(RX),2024,"Rugged all-band SDR with dual-VFO, split, modular attachable battery carrier and QRadioBLE app; ~20W HF. Also sold as HamGeek PMR-171."
Guohetec (Guohe Electronic),Q900 (V3),HF/VHF/UHF transceiver (SDR),RX 100 kHz-2 GHz; TX HF/50/70/144/430 MHz,SSB/CW/AM/FM/RTTY/DMR(opt),2022,"Ultra-portable all-band all-mode SDR, ~10-20W HF; Bluetooth + HAM-BOX app. Evolved from HS2 (v1) and QR20 (v2)."
Guohetec (Guohe Electronic),Q900 V4,HF/VHF/UHF transceiver (SDR),RX 100 kHz-2 GHz; TX HF/6m/4m/2m/70cm,SSB/CW/AM/FM/RTTY/DMR(opt),2024,Latest hardware/firmware revision of the Q900 with refined RX and all-module option.
Hallicrafters,FPM-300 Mark II,HF transceiver,80-10 m,SSB/CW,1972,Higher-power FPM-300 variant.
Hallicrafters,FPM-300 Safari,HF transceiver,80-10 m,SSB/CW,1972,Solid-state (nuvistor front-end) SSB transceiver.
Hallicrafters,HT-17,HF transmitter,80-10 m,CW,1947,Low-power novice/beginner transmitter.
Hallicrafters,HT-18,HF/VFO transmitter/exciter,80-10 m,AM/FM/CW,1947,Frequency-shift/VFO exciter.
Hallicrafters,HT-19,HF transmitter,80-10 m,FM/CW,1948,125W transmitter.
Hallicrafters,HT-20,HF transmitter,160-10 m,AM/CW,1950,115W bandswitching transmitter.
Hallicrafters,HT-30,HF transmitter/exciter,80-10 m,AM/SSB/CW,1954,Early SSB exciter using phasing.
Hallicrafters,HT-32,HF transmitter,80-10 m,AM/SSB/CW,1957,Premium filter-type SSB transmitter; companion to SX-101.
Hallicrafters,HT-32A,HF transmitter,80-10 m,AM/SSB/CW,1958,Improved HT-32.
Hallicrafters,HT-32B,HF transmitter,80-10 m,AM/SSB/CW,1960,"Final HT-32 series, ~150W."
Hallicrafters,HT-37,HF transmitter,80-10 m,AM/SSB/CW,1959,Lower-cost SSB transmitter derived from HT-32.
Hallicrafters,HT-40,HF/VHF transmitter,80-6 m,AM/CW,1961,Novice-class transmitter; companion to SX-140.
Hallicrafters,HT-44,HF transmitter,80-10 m,AM/SSB/CW,1962,Compact SSB transmitter; companion to SX-117.
Hallicrafters,HT-46,HF transmitter,80-10 m,SSB/CW/AM,1966,SSB transmitter; companion to SX-146.
Hallicrafters,HT-9,HF transmitter,160-10 m,AM/CW,1936,Early high-power tabletop transmitter.
Hallicrafters,S-107,communications receiver,540 kHz-34 MHz,AM/CW,1958,Budget receiver.
Hallicrafters,S-108,communications receiver,540 kHz-34 MHz,AM/CW,1959,Budget receiver with S-meter.
Hallicrafters,S-118,communications receiver,General coverage HF,AM/CW,1962,Entry receiver.
Hallicrafters,S-119 Sky Buddy II,communications receiver,General coverage HF,AM/CW,1961,Entry-level receiver reviving the Sky Buddy name.
Hallicrafters,S-120,communications receiver,540 kHz-30 MHz,AM/CW,1961,Very common inexpensive AC/DC receiver.
Hallicrafters,S-19R Sky Buddy,communications receiver,General coverage HF,AM/CW,1938,Classic entry-level pre-war receiver.
Hallicrafters,S-20R Sky Champion,communications receiver,540 kHz-44 MHz,AM/CW,1939,Very popular budget receiver.
Hallicrafters,S-38,communications receiver,540 kHz-32 MHz,AM/CW,1946,Iconic cheap post-war beginner receiver.
Hallicrafters,S-38A,communications receiver,540 kHz-32 MHz,AM/CW,1947,Revised S-38.
Hallicrafters,S-38B,communications receiver,540 kHz-32 MHz,AM/CW,1948,S-38 series.
Hallicrafters,S-38C,communications receiver,540 kHz-32 MHz,AM/CW,1950,S-38 series.
Hallicrafters,S-38D,communications receiver,540 kHz-32 MHz,AM/CW,1953,S-38 series.
Hallicrafters,S-38E,communications receiver,540 kHz-32 MHz,AM/CW,1957,Final restyled S-38 (Raymond Loewy).
Hallicrafters,S-40,communications receiver,540 kHz-43 MHz,AM/CW,1946,Popular post-war receiver.
Hallicrafters,S-40A,communications receiver,540 kHz-43 MHz,AM/CW,1947,Improved S-40.
Hallicrafters,S-40B,communications receiver,540 kHz-43 MHz,AM/CW,1950,Final S-40 series.
Hallicrafters,S-53,communications receiver,540 kHz-31 + 48-55 MHz,AM/CW,1949,Compact receiver with 6m coverage.
Hallicrafters,S-53A,communications receiver,540 kHz-31 + 48-55 MHz,AM/CW,1951,Revised S-53.
Hallicrafters,S-72,communications receiver,540 kHz-31 MHz,AM/CW,1949,Portable battery/AC receiver.
Hallicrafters,S-76,communications receiver,538 kHz-34 MHz,AM/CW,1951,Dual-conversion with S-meter.
Hallicrafters,S-77,communications receiver,540 kHz-44 MHz,AM/CW,1950,Mid-line receiver.
Hallicrafters,S-85,communications receiver,540 kHz-34 MHz,AM/CW,1955,Popular entry receiver.
Hallicrafters,S-86,communications receiver,540 kHz-34 MHz,AM/CW,1955,S-85 with added features (bandspread).
Hallicrafters,SR-150,HF transceiver,80/40/20/15/10 m,SSB/CW,1961,5-band SSB transceiver.
Hallicrafters,SR-160,HF transceiver,80/40/20 m,SSB/CW,1961,3-band economy SSB transceiver.
Hallicrafters,SR-2000 Hurricane,HF transceiver,80-10 m,SSB/CW,1965,2 kW PEP input flagship with built-in amplifier.
Hallicrafters,SR-34,VHF transceiver,6 & 2 m,AM/CW,1958,Early VHF AM transceiver (versions for 6m and 2m).
Hallicrafters,SR-400 Cyclone,HF transceiver,80-10 m,SSB/CW,1965,Popular 400W-class SSB transceiver.
Hallicrafters,SR-400A Cyclone II,HF transceiver,80-10 m,SSB/CW,1969,Improved SR-400.
Hallicrafters,SR-42,VHF transceiver,2 m,AM,1964,2-meter AM transceiver.
Hallicrafters,SR-46,VHF transceiver,6 m,AM,1964,6-meter AM transceiver.
Hallicrafters,SR-500 Tornado,HF transceiver,80-20 m,SSB/CW,1965,500W-input transceiver.
Hallicrafters,SR-540,HF transceiver,80-10 m,SSB/CW,1965,5-band SSB transceiver.
Hallicrafters,SR-750,HF transceiver,80-10 m,SSB/CW,1965,750W-class SSB/CW transceiver.
Hallicrafters,SX-100,communications receiver,0.54-34 MHz,AM/CW,1955,Selectable-sideband dual-conversion receiver.
Hallicrafters,SX-101,communications receiver,Ham bands 160-10 m,AM/CW,1956,"Amateur-bands receiver, multiple Mark versions."
Hallicrafters,SX-101A,communications receiver,Ham bands 160-10 m,AM/SSB/CW,1959,Improved SX-101 with better SSB reception.
Hallicrafters,SX-11,communications receiver,0.535-40 MHz,AM,1936,Pre-war Super Skyrider.
Hallicrafters,SX-110,communications receiver,540 kHz-34 MHz,AM/CW,1959,General-coverage receiver.
Hallicrafters,SX-111 Mark I,communications receiver,6 ham bands + WWV,AM/SSB/CW,1961,'Mark 1' amateur receiver.
Hallicrafters,SX-115,communications receiver,3.5-30 MHz (segments),AM/SSB/CW,1961,High-performance amateur receiver; collectible.
Hallicrafters,SX-117,communications receiver,3-30 MHz (ham bands),AM/SSB/CW,1962,Triple-conversion companion to HT-44/SR.
Hallicrafters,SX-122,communications receiver,0.538-34 MHz,AM/CW,1964,General-coverage receiver.
Hallicrafters,SX-130,communications receiver,General coverage HF,AM/CW,1965,Later mid-line receiver.
Hallicrafters,SX-133,communications receiver,0.535-31.5 MHz,AM/CW,1967,Late general-coverage receiver.
Hallicrafters,SX-140,communications receiver,6 ham bands (80-6 m),AM/CW,1960,Companion to HT-40 transmitter.
Hallicrafters,SX-146,communications receiver,2-30 MHz (ham bands),AM/SSB/CW,1966,Companion to HT-46 transmitter.
Hallicrafters,SX-16,communications receiver,0.55-60 MHz,AM,1937,Six-band pre-war receiver.
Hallicrafters,SX-17,communications receiver,0.54-62 MHz,AM,1938,Pre-war deluxe receiver.
