Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Baofeng,UV-5G / UV-5G Plus,GMRS handheld,UHF GMRS 462/467 MHz,USB programming cable (USB-C on 5G Plus) to a PC running CHIRP (programming only — no CAT). For digital use a sound-card interface into the Kenwood 2-pin jack; PTT via VOX; frequency set on the radio,none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin or USB-C cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program GMRS channels/repeater offsets in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) jack (5G Plus adds USB-C charge/programming),GMRS HT (fixed GMRS channels); no CAT — programmed via CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5R,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Classic dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5R Plus,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RA,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RB,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RC,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RD,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RE,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RE Plus,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R variant dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RH,VHF/UHF handheld,2m/70cm (+ air/FM RX),USB-C programming cable to a PC running CHIRP (programming only — no CAT). For digital use a sound-card interface into the Kenwood 2-pin jack; PTT via VOX; frequency set on the radio,none,n/a (USB-C CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (USB-C cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,USB-C charge/programming port; Kenwood 2-pin (K1) jack for audio accessories,Newer high-power dual-band FM HT with air/FM RX; programs over USB-C. No CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RM,VHF/UHF handheld,Wideband RX ~18-1300 MHz; 2m/70cm TX,USB-C programming cable to a PC running CHIRP (programming only — no CAT). For digital use a sound-card interface into the Kenwood 2-pin jack; PTT via VOX; frequency set on the radio,none,n/a (USB-C CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (USB-C cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,USB-C charge/programming port; Kenwood 2-pin (K1) jack for audio accessories,Newer wideband-RX high-power FM HT; programs over USB-C. No CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RTP,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,8W tri-power UV-5R-class FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5RWP,VHF/UHF handheld,2m/70cm,"USB programming cable to the waterproof screw-in (Kenwood 2-pin electrically) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into that jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (waterproof-connector USB cable). Digirig Mobile (SignaLink alt) into the accessory jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Waterproof screw-in accessory jack (Kenwood 2-pin type) → USB cable,Waterproof dual-band FM HT; needs the waterproof-connector cable. No CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-5X,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,UV-5R-class dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-6R,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Dual-band FM HT (distinct firmware from UV-5R in CHIRP); no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-82,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Dual-band FM HT (dual PTT); no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-82 Plus,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Dual-band FM HT (dual PTT); no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-82C,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Commercial-spec dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-82HP,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,8W dual-band FM HT (dual PTT); no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-9G,GMRS handheld,UHF GMRS 462/467 MHz,"USB programming cable to the waterproof screw-in (Kenwood 2-pin electrically) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into that jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (waterproof-connector USB cable). Digirig Mobile (SignaLink alt) into the accessory jack for digital audio,Manual PTT / VOX / interface RTS,Program GMRS channels/offsets in CHIRP; set VOX for sound-card PTT,Waterproof screw-in accessory jack (Kenwood 2-pin type) → USB cable,Waterproof GMRS HT; needs the waterproof-connector cable. No CAT — programmed via CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-9R,VHF/UHF handheld,2m/70cm,"USB programming cable to the waterproof screw-in (Kenwood 2-pin electrically) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into that jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (waterproof-connector USB cable). Digirig Mobile (SignaLink alt) into the accessory jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Waterproof screw-in accessory jack (Kenwood 2-pin type) → USB cable,Waterproof dual-band FM HT; needs the waterproof-connector cable. No CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-9R Plus,VHF/UHF handheld,2m/70cm,"USB programming cable to the waterproof screw-in (Kenwood 2-pin electrically) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into that jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (waterproof-connector USB cable). Digirig Mobile (SignaLink alt) into the accessory jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Waterproof screw-in accessory jack (Kenwood 2-pin type) → USB cable,Waterproof high-power dual-band FM HT; needs the waterproof-connector cable. No CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-9R Pro,VHF/UHF handheld,2m/70cm,"USB programming cable to the waterproof screw-in (Kenwood 2-pin electrically) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into that jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (waterproof-connector USB cable). Digirig Mobile (SignaLink alt) into the accessory jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Waterproof screw-in accessory jack (Kenwood 2-pin type) → USB cable,Waterproof dual-band FM HT (Type-C charge on some units); no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-B5,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Rotary-knob dual-band FM HT; no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Baofeng,UV-B6,VHF/UHF handheld,2m/70cm,"USB programming cable to the Kenwood 2-pin (K1) jack, running CHIRP (programming only — no CAT). For digital use a sound-card interface into the 2-pin jack; PTT via VOX; frequency set on the radio",none,n/a (USB CHIRP),n/a,n/a,n/a,None,n/a,No,None for programming (Kenwood-2-pin USB cable). Digirig Mobile (SignaLink alt) into the 2-pin jack for digital audio,Manual PTT / VOX / interface RTS,Program frequencies/channels in CHIRP; set VOX for sound-card PTT,Kenwood 2-pin (K1) accessory jack → USB programming cable,Dual-band FM HT (UV-B5 sibling); no CAT — frequency set on radio/CHIRP,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Barker & Williamson (B&W),5100B,HF transmitter,HF 80-10m,No CAT/computer control (vintage HF transmitter). For digital/SSTV feed audio into the mic/audio input from an outboard sound-card interface; key via VOX or the interface's PTT/key line; frequency is set manually on the transmitter,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile (SignaLink alt) wired to the mic/audio input + key/PTT line,VOX or interface PTT/key line (or manual),None (no menus/CAT); set band/frequency and tune manually,Mic/audio input + key jack,Transmitter only (pair with a separate receiver for a full station); no rig control — frequency set manually,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Barker & Williamson (B&W),6100,HF transmitter,HF 80-10m,No CAT/USB. Set band and frequency manually; for digital modes feed keyed audio from a PC sound-card interface into the mic/patch input.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink USB alt.,VOX or the interface's RTS/PTT line (manual/foot-switch also works),None - no menu; set band/frequency with front-panel controls,Microphone connector (no USB/data port),"Solid-state HF transceiver/transmitter, no computer control. Frequency set manually. Sound card only for digital audio.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Belcom (Nihon Dengyo),Liner 15,HF portable,15m,No CAT/USB. Tune manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or mic PTT),None - no menu; set frequency with the dial,Microphone connector (no USB/data port),"1970s monoband 15m SSB portable, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Belcom (Nihon Dengyo),Liner 2,VHF transceiver,2m,No CAT/USB. Tune manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or mic PTT),None - no menu; set frequency with the dial,Microphone connector (no USB/data port),"Vintage 2m SSB transceiver, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Belka (EU1ME / Mobimax),Belka (0.1-31 latest),Communications receiver (HF/SW),0.1-31 MHz continuous,"Receive-only, no CAT. Tune manually; route the audio (or analog I/Q output on latest units) to a PC sound-card line-in to decode/panorama.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,"Audio/I-Q cable to PC line-in (sound-card interface, RX decode/panorama only)",n/a (receive only),None - tune manually; micro-USB is charging only,3.5mm phones/line out (and 3.5mm analog I/Q out on latest); USB is charge-only,"Ultraportable HF RX only, no CAT. Latest models add analog 192kHz I/Q out for PC SDR panorama.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Belka (EU1ME / Mobimax),Belka-DSP,Communications receiver (HF/SW),3.5-31 MHz,"Receive-only, no CAT. Tune manually; route the phones/line audio to a PC sound-card line-in to decode digital modes.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,"Audio cable to PC line-in (sound-card interface, RX decode only)",n/a (receive only),None - tune manually; micro-USB is charging only,3.5mm phones/line out; USB is charge-only,"Earlier DSP model, RX only, no CAT and no I/Q output. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Belka (EU1ME / Mobimax),Belka-DX,Communications receiver (HF/SW),1.5-31 MHz,"Receive-only, no CAT. Tune manually; feed the 3.5mm analog I/Q output to a PC sound-card line-in for SDR panorama, or use the phones audio to decode.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Sound-card line-in for the analog I/Q output (RX panorama/decode only),n/a (receive only),None - tune manually; micro-USB is charging only,Separate 3.5mm analog I/Q out + 3.5mm phones; micro-USB is charge-only,"RX only, no CAT. Analog I/Q (approx 192kHz) into PC line-in works with SDR panorama software; USB micro is battery charging only.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BG2* / Chinese (HF One),HF One MKII,"HF transceiver (SDR, QRP)",RX 30 kHz-30 MHz; TX HF ham bands,"Single Mini-USB cable does everything: USB CAT (FT-817 protocol) plus a built-in USB Audio codec, so no external interface is needed.",NOT UHSDR. Repacked JUMA TRX2A - RS-232 CAT with selectable Yaesu FT-897 emulation OR Kenwood TS-480 emulation (plus native JUMA-TRX2 protocol),"Real RS-232 serial, baud DOES matter - default 9600, selectable 1200-115200 (framing 8-N-1). It is NOT 'ignored'.",8,1,None,None,n/a (not an Icom CI-V rig),No - no USB/USB-codec at all. RX I/Q is available on an output for SDR display (receive only); TX audio via the mic,"USB-to-RS232 (true-level) serial cable for CAT + an external PC stereo sound card on the I/Q output for RX SDR (no I/Q input, so no SDR TX); mic path for TX audio","PTT via the Yaesu/Kenwood CAT TX command over the RS-232 link (a real RS-232 port, not a virtual COM)",Run UHSDR firmware 2.0.0+ (USB CAT + USB audio always enabled); select the virtual COM port and USB Audio device in your software,Mini-USB (single cable: CAT + audio),"mcHF / RS-918 / UHSDR-family SDR QRP transceiver. Software: set rig = FT-817, baud irrelevant. Verify firmware supports USB audio (2.0.0+).",corrected,QRPblog (HF One MKII = repacked JUMA TRX2A) + JUMA TRX2 Operating Manual,https://qrpblog.com/2013/11/hf-one-mkii-cheap-mobile-transceiver-with-sdr-technology/,"Corrected. The 'HF One MKII' is a repackaged JUMA TRX2A (AD9851 DDS + PIC30F5014), NOT an mcHF/UHSDR radio, so the claimed 'FT-817 / UHSDR / baud-ignored / built-in USB audio' is wrong. Per the JUMA TRX2 manual it uses a real RS-232 port (3.5 mm, +/-RS-232 levels), default 9600-8-N-1 (1200-115200 selectable), with RS-232 modes: native JUMA, Yaesu CAT (emulates the FT-897), Kenwood TS-480 CAT, and Test. No USB and no built-in sound card; SDR use is via an I/Q output (RX only) into a PC sound card. Identification of HF One MKII = JUMA TRX2A per QRPblog; CAT params per the JUMA TRX2 Operating Manual."
BridgeCom Systems,BCM-220,VHF mobile,1.25m (222 MHz),No CAT. Program channels with the BridgeCom/RT Systems software (or CHIRP where supported) over a USB programming cable; set frequency via software/front panel. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Set channels/CTCSS via programming software; no CAT menu,RJ45 modular mic jack + USB programming cable,1.25m (222MHz) FM mobile. PC link is for channel programming; digital modes via outboard sound-card at the mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,DA-7X2,VHF/UHF digital handheld,2m/70cm,"No CAT. Program with the BTECH CPS software (codeplug) over the DA-7X2/DMR-6X2 2-pin K1 USB programming cable (a plain, no-circuitry cable).",none,n/a,n/a,n/a,n/a,n/a,n/a,No,None for control - CPS programming cable only (Digirig at the speaker/mic jack for analog AFSK if needed),Radio PTT / VOX (no CAT PTT),"Match radio firmware, CPS version, and codeplug version; program via CPS",2-pin K1 (Kenwood-style) USB programming jack,"DMR + analog handheld. PC connection is the CPS codeplug programming cable, not CAT. Use the correct plain 2-pin cable.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,DMR-6X2,VHF/UHF DMR handheld,2m/70cm,"No CAT. Program with the BTECH DMR-6X2 CPS software (codeplug) over the 2-pin K1 USB programming cable (plain, no-circuitry cable).",none,n/a,n/a,n/a,n/a,n/a,n/a,No,None for control - CPS programming cable only (Digirig at the speaker/mic jack for analog AFSK if needed),Radio PTT / VOX (no CAT PTT),"Match radio firmware, CPS version, and codeplug version; program via CPS",2-pin K1 (Kenwood-style) USB programming jack,"DMR handheld. PC connection is the CPS codeplug programming cable, not CAT. RT Systems software + USB-74 cable is an alternative.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,DMR-6X2 PRO,VHF/UHF DMR handheld,2m/70cm,No CAT. Program with the BTECH DMR-6X2 PRO CPS software (a PRO-specific version) over the 2-pin K1 USB cable; the PRO also has Bluetooth/GPS/APRS.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None for control - PRO CPS programming cable (Bluetooth/GPS onboard; Digirig at mic jack for analog AFSK),Radio PTT / VOX (no CAT PTT),Use the PRO-specific CPS; PRO codeplug is not interchangeable with the non-PRO 6X2; match firmware/CPS versions,2-pin K1 (Kenwood-style) USB programming jack; onboard Bluetooth,DMR handheld with GPS/APRS/Bluetooth. Uses the PRO CPS (different codeplug from standard 6X2). No CAT.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,GMRS-20V2,GMRS mobile,UHF GMRS 462/467 MHz,No CAT. Program the fixed GMRS channels/settings with BTECH software (or CHIRP) over a USB programming cable. GMRS is channelized and data modes are not permitted.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - USB programming cable only (no digital-mode use; Part 95 GMRS),Radio PTT / VOX,Program CTCSS/DCS and repeater tones via software; GMRS channels are fixed,Mic-jack USB programming cable (Kenwood-style),GMRS (Part 95) mobile. PC link is for channel/tone programming only; digital/data modes not legal on GMRS.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
